Id,Id2,Geography,Neighborhood,under_5_per,five_to_17_per,child_per,per_25_64_assoc_plus,per_25_64_bach_plus,per_25_64_grad,per_25_34_assoc_plus,per_25_34_bach_plus,per_25_34_grad,enrolled_3_4,per_high_wage
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",Portland,0.267973856,0.52014652,0.429577465,0.097775176,0.023419204,0.003512881,0.072072072,0.03963964,0,64,0.206068268
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",Portland,0.468421053,0.480417755,0.476439791,0.153374233,0.03297546,0.008435583,0.08259587,0.056047198,0,60.7,0.17490953
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",Chickasaw-Shawnee,0.531353135,0.338666667,0.379551821,0.202763256,0.102315161,0.045929798,0.192727273,0.054545455,0.016363636,29.9,0.263291139
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",Russell,0.573863636,0.684491979,0.649090909,0.129722922,0.069269521,0.047858942,0.071428571,0.020408163,0.020408163,35.1,0.158730159
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",Chickasaw-Shawnee,0.863095238,0.491467577,0.574270557,0.175567833,0.104972376,0.044198895,0,0,0,33.3,0.233789954
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",Chickasaw-Shawnee,0.095238095,0.346590909,0.280334728,0.194122885,0.127337489,0.050756901,0.239263804,0.049079755,0,88,0.234594595
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",Chickasaw-Shawnee,0.672897196,0.360557769,0.41543514,0.210526316,0.110615522,0.099018733,0.403508772,0.171929825,0.171929825,39,0.163898117
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",California-Parkland,0.586065574,0.56736712,0.571699905,0.139307229,0.124246988,0.050451807,0.191977077,0.191977077,0.074498567,47.1,0.142094017
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",Chickasaw-Shawnee,0.423076923,0.211309524,0.256440281,0.297266515,0.253416856,0.115603645,0.205438066,0.205438066,0.054380665,12.5,0.267477204
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",Chickasaw-Shawnee,0.261111111,0.211320755,0.223943662,0.194943446,0.093147039,0.051896208,0.061349693,0,0,34.5,0.267198405
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",Algonquin-Park Hill-Park Duvalle,0.349593496,0.476420798,0.46,0.26855394,0.177505738,0.081866871,0.251612903,0.141935484,0,47.6,0.312077295
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",Algonquin-Park Hill-Park Duvalle,0.386206897,0.849056604,0.731107206,0.2,0.125,0.02625,0.359042553,0.300531915,0,100,0.365642994
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",Algonquin-Park Hill-Park Duvalle,0.720720721,0.515822785,0.546433378,0.135742972,0.095582329,0.06746988,0.086687307,0.086687307,0,56.1,0.183313749
