city,county,state,display_name,current_peer,baseline_peer,year,FIPS,under_5_per,five_to_17_per,child_per,bach_plus_per_all,bach_plus_per_black,per_25_64_assoc_plus,per_25_64_bach_plus,per_25_64_grad,per_25_34_assoc_plus,per_25_34_bach_plus,per_25_34_grad,bach_plus_per_hispanic,bach_plus_per_white,enrolled_3_4,ACT_JCPS,College_in_KY_JCPS,College_out_of_state_JCPS,Successful_Transition_JCPS,Kindergarten_Readiness_JCPS,CCR_All_JCPS,CCR_White_JCPS,CCR_Black_JCPS,CCR_Hispanic_JCPS,NAEP_Reading_All,NAEP_Math_All,NAEP_Reading_White,NAEP_Math_White,NAEP_Reading_Black,NAEP_Math_Black,NAEP_Reading_Hispanic,NAEP_Math_Hispanic,per_high_wage
Birmingham,Jefferson,AL,BIR,1,1,2005,1073,0.275616289,0.247982949,0.255920246,0.265389644,0.151307032,0.366738809,0.299107932,0.149577144,0.369863176,0.322122491,0.091401473,0.096321225,0.345611428,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379183481
Birmingham,Jefferson,AL,BIR,1,1,2006,1073,0.222420684,0.200682242,0.206951393,0.270637565,0.188461305,0.387349018,0.308727976,0.150411095,0.424953339,0.354745807,0.100849165,0.19934807,0.333980164,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400600659
Birmingham,Jefferson,AL,BIR,1,1,2007,1073,0.270082326,0.206815348,0.225265596,0.271563313,0.155672105,0.380607443,0.302815473,0.15873288,0.371373618,0.308321107,0.113738642,0.183074948,0.360442303,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402478588
Birmingham,Jefferson,AL,BIR,1,1,2008,1073,0.214831451,0.186570102,0.194870535,0.262522014,0.156651009,0.38226173,0.301456276,0.153553513,0.397887062,0.320139871,0.10676289,0.239984811,0.349046571,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38780646
Birmingham,Jefferson,AL,BIR,1,1,2009,1073,0.242944023,0.235241243,0.23758461,0.278764981,0.166498041,0.392192382,0.313419046,0.149553146,0.39829072,0.336659189,0.111509221,0.169176625,0.362442896,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392936829
Birmingham,Jefferson,AL,BIR,1,1,2010,1073,0.312298821,0.276551321,0.286778053,0.275047893,0.149702094,0.391563897,0.306114139,0.153426106,0.418088773,0.363687949,0.122767013,0.133638444,0.372387047,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406195803
Birmingham,Jefferson,AL,BIR,1,1,2011,1073,0.277243517,0.279826019,0.279075619,0.289884063,0.176391413,0.405703117,0.316394202,0.164605764,0.446794448,0.349468626,0.128159129,0.107336757,0.376040007,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434114983
Birmingham,Jefferson,AL,BIR,1,1,2012,1073,0.331146455,0.266485313,0.285899995,0.286339413,0.179292094,0.406681555,0.32382869,0.162679981,0.424312901,0.363589057,0.123476063,0.149458753,0.391393353,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426146648
Birmingham,Jefferson,AL,BIR,1,1,2013,1073,0.339223536,0.252091356,0.277004558,0.297729335,0.193191117,0.41564999,0.33505506,0.168756594,0.447206023,0.371095324,0.119605556,0.186238887,0.392402533,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422501472
Birmingham,Jefferson,AL,BIR,1,1,2014,1073,0.314020397,0.302280319,0.305634829,0.290169319,0.180578119,0.407792834,0.32392278,0.164111577,0.415505098,0.333175654,0.113129402,0.180861762,0.388409179,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414837092
Birmingham,Jefferson,AL,BIR,1,1,2015,1073,0.291124822,0.255278365,0.265410568,0.30475453,0.19045603,0.421931042,0.332708162,0.168600731,0.446351529,0.384115967,0.137591446,0.185645641,0.406850875,55.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426483278
