GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0500000US01003,01003,"Baldwin County, Alabama",110194,421,52941,396,78,137,231,256,866,381,1216,552,911,590,1389,722,1099,391,726,351,14713,1804,3180,900,9467,1567,3793,1241,10430,1705,2891,801,1271,471,680,456,57253,496,239,224,240,337,809,485,1461,743,1060,479,1872,1260,1476,640,772,456,17065,1711,4153,1258,8513,1199,5561,1119,8891,1381,3809,917,1012,627,320,345
0500000US01015,01015,"Calhoun County, Alabama",74385,622,34807,437,110,120,321,323,358,227,1085,541,1166,450,1383,534,1239,636,544,323,11654,1486,2612,968,4341,1055,2976,897,4346,922,1373,511,616,330,683,339,39578,522,231,204,0,270,1253,757,1120,406,2115,730,1487,491,2260,701,345,247,14543,1643,2433,757,4932,1150,1908,573,4579,977,1923,488,314,218,135,188
0500000US01043,01043,"Cullman County, Alabama",54033,270,26397,145,160,157,57,79,849,401,1148,460,1110,468,994,443,1308,561,987,442,9454,1300,1252,472,3747,1006,2020,594,2119,593,714,315,402,249,76,121,27636,251,342,346,106,118,812,356,1085,373,927,335,1521,497,1491,563,314,220,10059,1345,1947,698,3191,865,2175,689,2172,657,1132,490,362,280,0,270
0500000US01049,01049,"DeKalb County, Alabama",44383,564,21505,410,461,475,797,696,344,306,1501,673,1339,473,1338,547,811,413,558,308,6752,961,1314,580,2511,791,1615,835,1797,651,307,225,0,270,60,101,22878,475,405,373,256,189,606,421,2212,786,1288,459,1597,658,1320,799,287,213,7525,1103,888,385,2678,684,1265,533,1874,628,662,368,0,270,15,25
0500000US01051,01051,"Elmore County, Alabama",43995,510,20944,269,114,136,0,270,226,189,275,221,733,484,208,206,1253,743,226,180,7096,941,1692,633,3611,840,1231,566,2881,704,910,369,326,269,162,161,23051,467,137,128,9,17,211,236,628,356,459,316,509,286,1258,682,223,154,8557,1345,2027,530,4078,1029,1085,482,2546,772,1178,452,146,144,0,270
0500000US01055,01055,"Etowah County, Alabama",69279,553,32211,333,103,130,229,281,611,299,766,352,1106,442,1930,595,904,413,1300,629,10474,1186,1559,515,6057,990,1940,589,3181,725,1144,454,683,381,224,173,37068,473,214,192,278,240,380,220,1066,422,2338,775,1913,583,1893,617,692,381,11456,1308,2582,660,5998,808,3993,870,2475,814,1550,509,195,191,45,73
0500000US01069,01069,"Houston County, Alabama",62236,104,28735,160,279,135,255,147,422,183,962,347,582,209,511,161,1026,315,1039,620,8575,820,2059,493,4873,885,1836,468,4310,618,1093,253,583,219,330,191,33501,129,172,103,110,87,534,178,1172,271,806,286,1195,337,1025,293,1265,671,9644,849,2809,546,5610,898,2225,454,4074,528,1948,404,241,156,671,771
0500000US01073,01073,"Jefferson County, Alabama",428340,501,195314,458,1237,439,1317,767,3759,1334,3851,873,3642,991,5330,1322,7064,1834,4728,1088,55844,4268,9816,1587,33098,2815,10032,1393,34366,3243,10818,1712,7567,1338,2845,1050,233026,597,672,337,1128,919,2241,817,3436,956,3689,930,6643,1131,7861,1747,4869,1259,71567,4218,12839,1596,40818,3580,15569,1939,38654,2948,17996,2271,3224,758,1820,485
0500000US01077,01077,"Lauderdale County, Alabama",59286,503,27936,320,57,82,307,374,122,147,1637,672,646,436,1098,488,1269,625,706,340,9025,1244,1330,663,4438,1049,1836,967,3427,754,1573,580,275,238,190,185,31350,455,486,472,129,122,232,200,1237,525,1341,506,1901,652,1537,780,597,324,10109,1158,2260,951,3494,887,2574,778,3517,859,1858,605,78,111,0,270
