GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0500000US01003,01003,"Baldwin County, Alabama",140588,1263,67596,1174,763,651,420,489,200,236,1597,757,1358,914,2024,1057,998,636,1101,737,18524,2450,4498,1453,11044,1961,4790,1422,13418,2190,4528,1460,1803,851,530,316,72992,749,721,451,0,189,207,240,1056,766,781,496,1410,638,1756,989,1132,741,17336,2313,4415,1342,12967,1940,8626,1874,14710,2164,6695,1354,940,551,240,324
0500000US01015,01015,"Calhoun County, Alabama",79002,721,36907,688,551,296,299,325,253,279,510,387,756,380,1157,515,1384,609,1067,366,12119,1398,3331,823,6660,1139,2580,720,4347,902,1124,490,341,243,428,241,42095,210,488,239,17,38,477,293,823,452,1094,525,1981,611,1189,462,1160,565,12443,1357,2795,927,7417,1304,3596,933,5149,1253,2805,793,420,256,241,193
0500000US01043,01043,"Cullman County, Alabama",55841,472,27105,554,393,269,49,86,441,398,1013,482,411,334,1134,559,632,476,465,298,10106,1377,1984,723,4608,1094,2319,775,2876,803,292,173,257,215,125,123,28736,323,268,227,64,121,118,102,423,284,778,411,1486,728,814,461,386,324,11820,1462,1561,543,3320,800,3188,893,2317,597,1762,578,431,307,0,189
0500000US01049,01049,"DeKalb County, Alabama",47125,551,23325,588,1023,596,205,280,923,644,751,572,1078,611,819,601,733,566,1012,761,7526,1034,1694,577,3526,921,1031,452,2203,803,330,214,164,185,307,296,23800,466,955,618,579,665,473,366,860,528,972,665,652,339,1322,741,496,385,7069,1129,1419,537,3955,977,2342,705,1317,552,1045,444,236,200,108,154
0500000US01051,01051,"Elmore County, Alabama",53616,867,25201,839,135,160,91,154,271,266,405,254,644,350,488,288,916,383,497,271,10401,1413,792,356,3783,806,2239,676,2379,617,1311,414,776,563,73,121,28415,308,16,27,49,106,195,270,544,332,200,159,497,321,1046,666,316,243,10094,1289,1258,463,3912,1038,2643,982,5222,1293,1733,481,357,268,333,373
0500000US01055,01055,"Etowah County, Alabama",71479,730,33857,596,239,220,154,161,297,277,651,438,463,348,1167,587,1083,483,842,445,12097,1567,1965,667,6899,1074,2510,707,3779,817,1119,502,232,164,360,239,37622,452,475,252,151,133,360,360,1174,468,1057,597,1551,509,1466,609,560,268,11360,1099,2087,598,7622,1087,3279,748,3458,776,2275,775,608,341,139,136
0500000US01069,01069,"Houston County, Alabama",70549,166,32647,176,569,188,197,98,430,197,379,161,779,376,731,226,1243,345,793,297,10831,855,2187,333,5801,748,2374,420,4287,523,1206,270,609,177,231,154,37902,79,753,255,134,87,183,104,722,312,1268,491,1144,344,1436,389,950,325,11878,815,2665,450,6131,732,3299,473,5085,503,1794,267,296,124,164,112
0500000US01073,01073,"Jefferson County, Alabama",447263,567,204444,743,2447,857,288,274,2348,743,2953,1154,2076,544,4121,898,6484,1418,4418,1000,57899,3102,10987,1444,34393,2541,13112,2057,36533,2808,12390,1363,9766,1581,4229,903,242819,703,1474,556,379,226,1686,723,3689,1178,2397,785,4477,893,6102,1434,3345,836,67755,3371,13153,1515,43097,3220,21706,2262,44810,3062,20750,2125,5289,936,2710,796
0500000US01077,01077,"Lauderdale County, Alabama",63180,565,29417,472,401,303,0,189,0,189,944,407,678,364,700,330,1043,566,406,244,10067,1380,1591,486,4325,1060,1658,591,4403,829,2138,720,420,227,643,349,33763,453,396,232,148,138,203,200,691,377,1207,560,1027,427,910,429,364,280,11339,1292,2402,802,5936,1216,2010,606,3760,887,2499,602,357,266,514,387
