GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",118624,1142,57386,629,1754,860,4619,1442,12818,1716,3001,1022,12691,1666,4060,1191,12817,1642,5626,1143,61238,681,1263,636,3138,780,13467,2195,3213,1007,15099,2277,5961,1402,12114,1616,6983,1433
0500000US01015,01015,"Calhoun County, Alabama",62087,610,29294,503,1898,785,4144,973,6320,962,2643,806,7214,1165,1667,636,3718,923,1690,549,32793,403,1645,616,4928,1047,8763,1325,2321,592,7574,1016,2314,703,3213,898,2035,695
0500000US01043,01043,"Cullman County, Alabama",53715,214,26204,209,2106,653,3214,854,7404,1324,1382,494,6973,1077,2186,728,1781,670,1158,449,27511,108,1476,397,1691,518,7178,1101,1857,681,7466,1045,4321,923,1800,533,1722,550
0500000US01049,01049,"DeKalb County, Alabama",43796,733,20637,537,1711,612,3837,992,7588,1340,1373,694,2912,813,1654,564,1179,472,383,220,23159,416,1584,628,3432,1026,8256,1295,1141,430,4147,868,2555,769,1080,519,964,447
0500000US01051,01051,"Elmore County, Alabama",42896,385,20207,268,512,335,2155,658,6383,906,1662,523,3460,686,1660,534,2764,624,1611,524,22689,186,293,220,1478,569,5883,1104,2051,598,5872,1063,1368,514,3551,900,2193,680
0500000US01055,01055,"Etowah County, Alabama",59876,610,28382,422,2089,790,3190,756,8176,1218,2731,824,6201,1344,1900,634,3004,810,1091,548,31494,315,2123,679,3262,810,7267,1116,2396,762,7221,1132,3862,869,3492,970,1871,611
0500000US01069,01069,"Houston County, Alabama",51470,411,24386,293,1251,459,1684,359,6723,830,1645,430,4836,519,1694,298,4658,564,1895,377,27084,267,763,207,2207,474,7862,729,1435,345,5757,625,2316,444,4283,603,2461,470
0500000US01073,01073,"Jefferson County, Alabama",251085,1481,119630,1198,3001,623,9234,1659,20996,1951,4513,877,25775,2385,5762,1045,28609,1868,21740,1664,131455,695,3450,951,9036,1519,30767,2199,3704,819,27552,2294,9022,1501,28755,2383,19169,2127
0500000US01077,01077,"Lauderdale County, Alabama",56514,483,26684,239,895,375,3221,948,7723,1101,1571,533,6032,1115,1240,601,3225,873,2777,817,29830,262,1732,561,3600,944,8324,1303,2339,640,5573,1027,1830,624,4265,891,2167,664
0500000US01081,01081,"Lee County, Alabama",60029,901,29192,382,745,421,1484,498,4961,1015,1964,728,5836,1139,2631,778,6579,1339,4992,932,30837,633,598,351,1900,699,6776,1331,1401,472,6070,1200,2354,625,6678,1307,5060,882
0500000US01083,01083,"Limestone County, Alabama",49631,776,24633,407,1243,489,2481,642,5531,1067,2157,701,6300,950,1220,480,3815,844,1886,549,24998,413,1670,750,2836,726,6100,1006,1898,693,5836,983,1206,453,3934,778,1518,463
0500000US01089,01089,"Madison County, Alabama",166796,1046,81711,571,2057,722,5121,2011,10610,1495,3772,946,15548,1920,5301,1149,23912,1931,15390,1732,85085,799,1463,581,3891,998,15817,1983,3232,821,20372,2141,7356,1500,23331,1781,9623,1221
0500000US01095,01095,"Marshall County, Alabama",58121,1242,27541,861,2104,818,4343,1188,7872,1246,1302,401,5417,954,1988,671,2756,625,1759,539,30580,462,2763,790,3463,763,7346,1125,2007,591,7081,968,2592,698,3286,739,2042,847
0500000US01097,01097,"Mobile County, Alabama",174024,730,84168,770,3467,1198,7640,1438,23683,2296,5729,1103,18471,1761,5119,1047,13908,1686,6151,1212,89856,522,3870,894,8306,1363,22228,2171,4774,1220,19628,1867,7505,1301,15381,2098,8164,1416
0500000US01101,01101,"Montgomery County, Alabama",65651,716,31374,573,1362,479,1597,559,4240,1013,1690,614,7724,1309,1698,639,7605,1143,5458,874,34277,335,1202,729,1226,435,7234,786,1147,560,7923,1117,2063,609,8107,1121,5375,870
0500000US01103,01103,"Morgan County, Alabama",69131,755,33437,511,2187,802,2763,832,8683,1139,3135,809,5545,1009,2116,520,6103,968,2905,844,35694,332,2088,642,3267,979,9033,1660,1832,551,10100,1388,2554,784,4212,696,2608,677
0500000US01115,01115,"St. Clair County, Alabama",51889,342,25235,294,1064,502,3434,969,6557,1197,2748,1216,5933,1487,1930,775,2380,792,1189,538,26654,188,515,369,2761,773,7208,1452,2092,668,7264,1271,1969,826,2726,959,2119,701
0500000US01117,01117,"Shelby County, Alabama",112397,652,53732,420,1769,626,2777,735,8245,1494,1336,460,11189,1459,4308,907,15974,1452,8134,1149,58665,362,1250,619,3076,778,9903,1370,1968,706,14637,1695,5677,1215,15351,1390,6803,1008
0500000US01121,01121,"Talladega County, Alabama",37616,221,18129,221,1500,573,2455,691,5383,859,1710,631,3679,695,1692,643,1260,346,450,255,19487,184,716,268,2432,598,6050,979,1404,597,4916,866,1579,564,1157,491,1233,477
0500000US01125,01125,"Tuscaloosa County, Alabama",80608,692,39478,542,1787,655,3352,960,10649,1617,1909,719,5841,1114,2258,838,8615,1211,5067,811,41130,330,1524,470,3126,713,11195,1260,1658,560,7695,1350,2379,700,7963,1361,5590,984
0500000US01127,01127,"Walker County, Alabama",42270,151,20118,109,1798,555,3212,665,5863,950,1826,594,3776,971,1677,622,1332,488,634,316,22152,50,984,384,3405,886,6889,1032,1546,488,4740,881,2476,644,981,405,1131,431
0500000US02020,02020,"Anchorage Municipality, Alaska",134966,1371,69510,848,667,385,1889,751,13506,2147,3100,845,20546,2142,5277,1120,13962,1801,10563,1332,65456,911,1448,634,2303,894,9545,1584,2238,843,16631,1790,6230,1201,16673,1992,10388,1334
