GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01015,01015,"Calhoun County, Alabama",13110,635,5751,497,548,322,493,269,2072,513,1348,518,559,466,527,449,204,140,7359,333,717,293,1314,438,1787,615,1264,515,872,471,856,472,549,410
0500000US01051,01051,"Elmore County, Alabama",8705,852,4446,749,200,140,800,291,2400,604,643,450,262,230,94,135,47,86,4259,248,534,277,1137,484,1937,445,397,333,73,92,90,122,91,82
0500000US01055,01055,"Etowah County, Alabama",8393,405,3488,250,174,134,624,265,1597,372,923,411,95,107,0,265,75,91,4905,324,284,198,828,278,1885,518,928,465,295,194,486,333,199,167
0500000US01069,01069,"Houston County, Alabama",14357,123,6282,31,1085,287,1245,406,2404,396,856,285,495,238,116,86,81,57,8075,119,1037,268,1864,405,2576,399,1630,373,422,208,469,229,77,60
0500000US01073,01073,"Jefferson County, Alabama",164750,581,71073,272,3750,877,10184,1494,25697,2597,15398,2215,5392,1309,7360,1956,3292,786,93677,508,3240,884,11466,1785,26365,2290,23537,2043,8672,1718,14320,1752,6077,1312
0500000US01081,01081,"Lee County, Alabama",16673,295,7478,95,736,426,973,422,2008,708,2505,779,378,375,395,245,483,329,9195,270,659,296,1424,533,2712,728,2457,688,356,244,1073,421,514,246
0500000US01089,01089,"Madison County, Alabama",40408,400,18355,293,807,353,3065,780,4059,949,4733,1074,855,432,3250,943,1586,522,22053,273,1116,412,2628,735,3866,1004,4617,896,1297,424,5684,1093,2845,796
0500000US01097,01097,"Mobile County, Alabama",79823,1117,34261,557,1813,488,6818,1426,15331,1641,6109,1015,1893,835,1498,510,799,414,45562,611,2825,747,7065,1148,15115,1679,8687,1158,4403,1085,5158,1247,2309,959
0500000US01101,01101,"Montgomery County, Alabama",66675,375,29474,323,2136,651,4795,961,12173,1523,4883,1394,1114,584,2737,991,1636,780,37201,191,3284,893,6845,1327,10091,1543,7193,1269,2563,782,4169,1293,3056,941
