GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",10158,736,4725,367,441,343,1202,498,1447,583,1247,643,0,267,295,364,93,154,5433,677,293,250,501,421,2744,989,735,523,601,509,233,230,326,248
0500000US01015,01015,"Calhoun County, Alabama",12915,342,5417,291,197,172,1059,451,2848,622,926,438,76,103,195,182,116,181,7498,164,85,103,2346,704,2602,641,920,440,524,304,767,391,254,215
0500000US01051,01051,"Elmore County, Alabama",10225,947,5165,646,359,248,1390,341,2682,944,455,344,39,64,43,68,197,308,5060,593,1151,840,902,447,1423,773,575,476,358,262,515,328,136,154
0500000US01055,01055,"Etowah County, Alabama",9560,713,4043,502,291,229,813,373,1858,526,345,246,196,236,428,318,112,129,5517,335,82,123,1282,518,2252,594,608,398,251,208,512,316,530,390
0500000US01069,01069,"Houston County, Alabama",14608,98,6255,87,642,211,1283,383,2437,496,1023,328,288,156,272,148,310,146,8353,25,700,223,1311,285,3093,461,1530,416,723,217,709,282,287,141
0500000US01073,01073,"Jefferson County, Alabama",165309,543,71617,351,3386,880,11507,1665,26904,2658,15533,1978,4809,1081,6690,1383,2788,1010,93692,423,3061,799,12787,1699,25772,2048,25708,2012,10108,1798,10905,1535,5351,1256
0500000US01081,01081,"Lee County, Alabama",17135,476,7590,458,677,259,680,249,2628,679,972,446,692,432,1234,622,707,471,9545,223,608,292,1832,574,2979,627,1788,543,594,394,906,403,838,407
0500000US01083,01083,"Limestone County, Alabama",6799,617,3617,514,198,201,566,328,1568,517,589,319,23,38,650,410,23,37,3182,373,122,151,595,364,609,286,1108,626,143,140,518,400,87,109
0500000US01089,01089,"Madison County, Alabama",42092,503,18912,387,1077,527,3904,1191,4158,933,3942,1110,981,595,3298,931,1552,741,23180,284,1424,739,2798,889,5061,1028,5467,1121,1487,696,4960,922,1983,691
0500000US01097,01097,"Mobile County, Alabama",80053,705,34696,318,2176,653,6785,1272,14770,1694,5998,1331,1663,617,2592,677,712,469,45357,610,2803,699,6932,1177,16208,1906,10262,1654,2679,740,4552,1058,1921,679
