GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",11611,1629,4719,1316,95,158,1287,837,2027,1145,50,68,1041,764,0,192,107,176,112,176,6892,996,575,528,548,518,1676,988,426,366,1820,939,901,989,664,540,282,309
0500000US01015,01015,"Calhoun County, Alabama",14375,482,6169,434,165,181,952,512,2733,835,260,284,1021,463,515,393,324,280,199,177,8206,159,209,159,837,445,1700,711,547,511,3177,869,539,473,617,432,580,287
0500000US01051,01051,"Elmore County, Alabama",10957,850,5042,663,204,143,597,269,2451,843,767,519,318,328,207,225,258,291,240,329,5915,618,45,82,976,382,2460,747,260,257,1121,762,374,334,259,240,420,325
0500000US01055,01055,"Etowah County, Alabama",10092,702,4734,546,337,249,690,457,1827,791,233,195,1223,560,66,79,186,243,172,164,5358,299,328,188,522,353,1834,545,394,261,1081,415,802,456,215,188,182,220
0500000US01069,01069,"Houston County, Alabama",16556,163,7209,41,557,148,1209,290,2627,364,582,237,1090,287,520,215,404,154,220,106,9347,157,597,180,1736,339,2699,410,437,187,2034,364,779,236,583,178,482,228
0500000US01073,01073,"Jefferson County, Alabama",175976,1284,75614,943,2451,763,11209,1497,22950,2107,3766,841,18964,2109,5675,1154,7012,1406,3587,872,100362,956,1926,533,10377,1619,21655,2196,2257,639,28874,2210,11875,1841,15396,2143,8002,1603
0500000US01077,01077,"Lauderdale County, Alabama",5357,132,2506,192,47,83,710,353,402,261,66,90,840,409,63,78,367,347,11,19,2851,132,313,362,356,162,757,400,31,53,254,174,311,284,316,197,513,359
0500000US01081,01081,"Lee County, Alabama",20561,674,8530,639,753,372,896,396,2398,611,276,326,1874,613,308,237,1190,681,835,662,12031,163,1044,581,1464,550,2748,814,128,163,2721,840,871,507,1711,836,1344,671
0500000US01083,01083,"Limestone County, Alabama",7859,579,4551,605,320,240,1430,650,675,357,289,247,986,444,100,177,352,322,399,452,3308,481,14,31,592,578,634,478,138,178,717,496,595,469,256,195,362,294
0500000US01089,01089,"Madison County, Alabama",50869,620,23015,256,554,365,2803,1040,5111,1342,1377,724,5982,989,1680,829,3715,1190,1793,631,27854,540,1195,429,2808,893,5131,941,1286,518,7208,1207,3190,966,4337,1010,2699,842
0500000US01097,01097,"Mobile County, Alabama",87560,840,38035,523,2351,747,6172,1138,12708,1597,1538,591,8103,1116,3515,1025,2697,970,951,590,49525,420,1705,509,4443,1053,12201,1634,1839,629,12548,1845,6907,1438,6434,1540,3448,964
0500000US01101,01101,"Montgomery County, Alabama",76258,485,33160,302,2318,780,3968,834,8760,1476,2992,783,6425,1283,2126,709,3986,969,2585,810,43098,277,1951,626,5663,1066,9601,1635,2493,777,10465,1530,2291,708,5665,1113,4969,1171
0500000US01103,01103,"Morgan County, Alabama",8904,911,4143,749,58,115,403,326,1328,525,496,423,1175,754,126,236,390,334,167,244,4761,663,79,96,523,215,1388,712,275,276,1074,592,701,554,663,482,58,77
0500000US01117,01117,"Shelby County, Alabama",14419,427,6196,402,32,63,213,204,1499,639,186,259,1628,729,902,547,934,517,802,520,8223,138,162,122,411,345,2172,846,125,160,927,347,893,515,2201,797,1332,589
0500000US01121,01121,"Talladega County, Alabama",16415,829,7979,532,579,348,1232,560,3353,845,642,468,1434,610,261,198,345,372,133,118,8436,424,402,277,1190,451,2436,633,187,163,2091,655,994,441,712,411,424,287
0500000US01125,01125,"Tuscaloosa County, Alabama",34479,270,14812,176,782,465,2976,949,5153,904,679,414,2694,960,866,531,1171,549,491,285,19667,152,694,343,2526,881,6190,1194,562,298,3972,1025,1804,660,2704,795,1215,511
0500000US02020,02020,"Anchorage Municipality, Alaska",9716,1258,6054,1087,226,270,1075,703,968,506,0,147,2740,1148,392,381,271,304,382,253,3662,512,172,186,103,145,852,686,41,74,679,416,765,575,701,368,349,219
0500000US04013,04013,"Maricopa County, Arizona",121300,1947,60038,1449,2289,1092,5370,1360,15084,2007,1715,647,16322,1890,6468,1480,7369,1323,5421,1047,61262,1217,2755,770,4302,1010,13326,2310,1812,616,18498,2099,5909,1103,8988,1273,5672,1151
0500000US04019,04019,"Pima County, Arizona",20993,643,11981,454,283,264,1231,787,2434,680,1147,670,4175,1186,1011,458,888,520,812,577,9012,473,775,502,640,360,1918,710,681,525,2230,742,525,264,1605,677,638,383
0500000US04021,04021,"Pinal County, Arizona",10615,623,6024,401,220,201,540,354,852,421,665,486,1911,605,322,383,1191,736,323,363,4591,489,390,434,690,608,807,302,337,244,948,516,443,281,691,491,285,263
0500000US05045,05045,"Faulkner County, Arkansas",6640,544,3067,357,84,129,360,300,677,420,9,20,935,440,358,281,516,431,128,153,3573,313,65,99,341,205,288,237,0,192,1257,465,974,436,598,426,50,84
0500000US05051,05051,"Garland County, Arkansas",5379,618,2542,447,291,285,78,92,1280,540,90,122,615,432,0,192,102,130,86,137,2837,397,37,48,431,306,697,401,711,589,333,229,176,160,326,211,126,147
0500000US05069,05069,"Jefferson County, Arkansas",24754,225,11322,158,587,292,1392,641,5112,945,440,349,2452,719,235,204,640,307,464,303,13432,191,569,316,1968,614,2817,724,563,323,4123,753,823,311,1485,493,1084,510
0500000US05119,05119,"Pulaski County, Arkansas",82807,671,35803,496,1243,481,3659,1002,13274,1801,1456,685,8824,1678,1768,723,4001,1165,1578,770,47004,511,1051,437,4940,1050,12089,1939,2068,1166,14081,2055,2903,796,6188,1292,3684,1097
0500000US06001,06001,"Alameda County, California",124709,2036,56685,1130,1683,531,4938,999,13685,1814,2676,958,18609,2063,3386,688,7626,1316,4082,964,68024,1448,2168,801,4509,905,13506,1714,1324,535,21474,2076,7627,1478,9678,1587,7738,1356
0500000US06013,06013,"Contra Costa County, California",61478,1558,27450,905,559,408,1557,760,6067,1624,1044,753,11029,1519,2561,917,3049,912,1584,562,34028,1079,839,431,1795,637,6237,1735,336,278,11485,2049,5413,1381,5379,1180,2544,905
0500000US06019,06019,"Fresno County, California",27926,959,13629,492,548,296,1564,632,2515,763,503,349,5243,852,1015,466,1578,566,663,398,14297,686,768,542,2128,740,2513,765,166,231,4718,852,1185,547,2010,920,809,408
