GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01073,01073,"Jefferson County, Alabama",8617,388,5230,300,1557,697,1224,567,1823,630,272,214,0,270,113,119,241,207,3387,493,1150,508,331,244,999,580,355,288,76,107,284,232,192,130
0500000US01089,01089,"Madison County, Alabama",3775,203,1921,231,323,224,585,452,487,315,232,183,44,76,40,67,210,175,1854,210,92,110,45,79,471,427,415,235,195,160,557,317,79,102
0500000US02020,02020,"Anchorage Municipality, Alaska",8594,608,4389,451,198,200,135,159,1476,716,1727,689,99,155,399,333,355,301,4205,372,269,203,749,380,620,318,1230,527,141,134,799,401,397,263
0500000US04003,04003,"Cochise County, Arizona",19909,549,9103,549,1375,509,1638,693,2089,811,1378,584,798,488,1271,749,554,441,10806,*****,1591,512,2083,871,3039,768,2635,757,405,302,742,391,311,256
0500000US04005,04005,"Coconino County, Arizona",8203,699,4586,507,993,562,1241,598,1316,465,660,402,182,215,194,155,0,291,3617,462,534,313,666,441,939,403,436,278,228,260,538,319,276,347
0500000US04013,04013,"Maricopa County, Arizona",518527,*****,277214,*****,72126,4869,53094,4360,76077,5713,40901,4307,12286,2434,15481,2693,7249,1611,241313,*****,56988,4409,44737,4532,71889,4018,37837,3124,11684,2035,13053,1949,5125,1209
0500000US04015,04015,"Mohave County, Arizona",12450,435,6336,*****,1326,416,807,341,2322,699,1075,386,294,261,34,70,478,578,6114,436,1212,548,1004,523,2025,639,1071,676,432,300,214,250,156,166
0500000US04019,04019,"Pima County, Arizona",153082,*****,73265,*****,9852,1581,11380,1770,21843,2441,14709,2138,4093,1015,7835,1629,3553,941,79817,*****,12510,1903,10111,1797,23474,1967,19470,1831,5878,1429,5903,1320,2471,673
0500000US04021,04021,"Pinal County, Arizona",31905,*****,16626,*****,3450,1110,2318,818,4872,1077,3804,934,1500,913,625,434,57,98,15279,*****,2796,801,2553,744,4065,863,3466,859,1076,523,1052,514,271,269
