GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01073,01073,"Jefferson County, Alabama",10127,178,6518,288,2180,826,1089,706,1664,856,345,283,103,175,665,511,472,538,3609,338,1012,536,443,337,955,487,387,322,95,108,98,115,619,383
0500000US01089,01089,"Madison County, Alabama",4304,200,2224,216,102,121,18,31,367,358,1095,446,93,121,283,163,266,258,2080,201,177,183,87,104,441,393,595,349,417,311,229,197,134,174
0500000US01097,01097,"Mobile County, Alabama",3882,299,2170,385,211,180,775,283,434,235,429,346,173,181,103,156,45,49,1712,252,0,267,289,228,491,261,575,311,77,129,203,243,77,137
0500000US02020,02020,"Anchorage Municipality, Alaska",10596,562,5301,380,564,386,1012,479,1184,642,1577,549,475,416,437,272,52,89,5295,453,850,533,983,555,1213,550,1032,394,319,334,478,405,420,279
0500000US04003,04003,"Cochise County, Arizona",21937,578,10266,578,2113,760,1507,613,3456,886,1575,521,885,583,586,377,144,141,11671,*****,3740,1016,1922,784,2361,748,1745,670,1011,627,726,344,166,144
0500000US04005,04005,"Coconino County, Arizona",7708,525,4038,331,453,385,579,363,1448,592,307,251,458,449,387,325,406,280,3670,339,930,396,420,303,941,380,648,359,35,59,281,187,415,308
0500000US04013,04013,"Maricopa County, Arizona",601511,*****,322568,*****,90549,6094,59878,4659,89948,5796,41241,3975,14139,2509,19179,2250,7634,1353,278943,*****,66446,5043,48030,3948,83350,4826,41018,3516,13860,2066,17676,2445,8563,1638
0500000US04015,04015,"Mohave County, Arizona",14415,493,7647,489,2517,928,890,421,2221,698,974,624,311,307,534,360,200,234,6768,298,1380,593,968,594,2405,901,1123,476,537,374,355,331,0,292
0500000US04017,04017,"Navajo County, Arizona",5863,457,3417,411,510,340,645,463,1732,533,454,338,0,292,76,131,0,292,2446,515,705,425,314,327,604,263,348,255,191,167,118,155,166,232
