GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01069,01069,"Houston County, Alabama",1658,115,833,113,180,107,193,193,228,157,0,189,86,68,49,63,57,44,40,42,825,73,232,153,124,99,245,125,0,189,121,87,47,45,37,40,19,33
0500000US01073,01073,"Jefferson County, Alabama",12927,*****,7528,430,2613,861,734,446,1686,648,252,234,531,332,279,302,1020,652,413,333,5399,430,1627,606,694,382,1226,517,0,189,926,412,21,39,368,248,537,396
0500000US01089,01089,"Madison County, Alabama",9118,536,4907,395,646,296,803,496,849,509,29,52,423,286,736,430,978,473,443,325,4211,413,1240,584,613,486,369,357,0,189,807,390,284,325,476,321,422,265
0500000US01101,01101,"Montgomery County, Alabama",3672,577,1940,514,169,186,294,244,280,301,286,233,272,223,61,106,354,264,224,222,1732,254,262,230,321,263,347,328,59,98,118,107,131,206,451,272,43,74
0500000US01117,01117,"Shelby County, Alabama",6606,543,3435,427,1091,600,909,500,891,518,0,189,220,172,55,93,237,174,32,57,3171,284,943,490,596,640,632,491,0,189,341,255,102,165,484,339,73,91
0500000US02020,02020,"Anchorage Municipality, Alaska",13284,*****,6669,*****,771,419,465,363,1740,838,162,278,1566,715,1008,627,850,478,107,143,6615,*****,557,334,385,285,1161,453,296,220,2482,637,752,606,605,462,377,287
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",2248,142,1333,139,30,49,2,4,160,129,175,148,583,153,190,165,110,110,83,104,915,105,45,77,110,177,102,83,30,49,315,154,139,139,76,69,98,96
0500000US04003,04003,"Cochise County, Arizona",24981,*****,12208,*****,1843,575,1565,481,2069,550,1170,461,2870,771,1307,638,691,344,693,383,12773,*****,1680,505,1608,542,2887,761,668,328,3307,872,1278,549,980,576,365,252
0500000US04005,04005,"Coconino County, Arizona",9178,*****,4748,*****,508,424,855,630,977,597,0,200,1479,475,190,166,627,489,112,109,4430,*****,244,170,384,287,795,410,396,279,1053,357,227,171,1157,435,174,152
0500000US04013,04013,"Maricopa County, Arizona",638913,*****,315405,*****,70958,4480,51229,4461,74255,4488,15343,2134,54443,4306,15017,2255,24939,2754,9221,2175,323508,*****,66425,3267,45027,3286,70820,3935,13913,2172,69626,4481,19044,2292,26765,2241,11888,1844
0500000US04015,04015,"Mohave County, Arizona",17888,861,9787,821,2893,996,1466,741,1790,949,380,320,1889,873,483,363,619,525,267,238,8101,241,1791,821,566,350,2369,905,101,128,1790,743,387,427,460,440,637,430
0500000US04017,04017,"Navajo County, Arizona",6811,408,3976,276,359,267,411,223,594,378,274,224,1679,415,445,295,28,53,186,233,2835,205,271,219,232,232,315,197,131,125,1417,419,153,181,316,342,0,200
0500000US04019,04019,"Pima County, Arizona",196230,*****,93030,*****,11332,1474,12487,1802,21308,2252,6004,1129,22675,2347,5848,1165,8937,1322,4439,1180,103200,*****,15822,1748,13342,1954,20699,2409,3696,1033,25075,2480,8044,1391,11034,1670,5488,1123
0500000US04021,04021,"Pinal County, Arizona",64799,*****,35417,*****,6437,1260,6573,1113,9428,1647,4148,964,5475,991,2001,773,1001,586,354,340,29382,*****,3770,902,4915,1218,7168,1494,2413,924,6115,1427,2553,879,1859,729,589,385
0500000US04025,04025,"Yavapai County, Arizona",16039,286,7606,286,970,570,1331,599,2418,790,248,241,1245,529,587,394,568,437,239,222,8433,*****,891,508,1781,727,1879,741,64,84,2356,588,533,396,556,366,373,332
0500000US04027,04027,"Yuma County, Arizona",67220,*****,32780,*****,8252,1446,7597,1106,5720,1305,1439,596,5929,1221,1616,908,1706,552,521,296,34440,*****,8737,1308,7900,1452,4851,1171,1519,619,6666,1349,1642,584,1956,698,1169,612
0500000US05007,05007,"Benton County, Arkansas",19571,*****,10208,*****,3226,913,1502,760,2068,797,400,371,1505,776,334,416,292,269,881,508,9363,*****,2446,551,2642,868,1698,688,277,249,1275,486,235,196,477,328,313,457
0500000US05119,05119,"Pulaski County, Arkansas",11711,482,6744,578,918,456,891,544,2194,699,745,647,1022,509,43,75,593,433,338,295,4967,354,955,548,731,478,1547,615,123,122,997,401,252,221,111,112,251,229
0500000US05131,05131,"Sebastian County, Arkansas",7467,314,4421,339,1223,694,1414,587,888,669,0,190,192,186,516,358,114,153,74,166,3046,344,1374,637,704,566,454,425,0,190,372,311,0,190,142,203,0,190
0500000US05143,05143,"Washington County, Arkansas",16406,575,8610,445,4815,887,2105,705,708,420,141,171,567,483,0,190,161,175,113,139,7796,686,3112,862,1447,727,1422,568,257,264,720,546,0,190,617,500,221,212
0500000US06001,06001,"Alameda County, California",212220,*****,107217,*****,21414,2522,16293,2407,24439,2423,3281,887,19439,2413,6379,1346,10177,1842,5795,1290,105003,*****,22327,2334,12387,1476,24953,2411,2829,863,19349,2120,6782,1056,10221,1408,6155,1052
0500000US06007,06007,"Butte County, California",17057,*****,8826,*****,1664,579,1186,469,1633,589,240,205,1995,657,1330,601,723,379,55,94,8231,*****,1991,607,679,411,2079,576,385,327,2188,628,213,197,486,298,210,199
0500000US06013,06013,"Contra Costa County, California",157197,*****,77988,*****,15626,2302,11838,2336,19512,2747,2063,731,14380,2139,4525,1138,7339,1555,2705,893,79209,*****,15688,2027,7583,1591,15683,2238,2186,852,18492,2127,5737,1416,9663,1609,4177,1005
