GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; $1 to $9,999 or loss","Total; Margin of Error; $1 to $9,999 or loss","Male; Estimate; $1 to $9,999 or loss","Male; Margin of Error; $1 to $9,999 or loss","Female; Estimate; $1 to $9,999 or loss","Female; Margin of Error; $1 to $9,999 or loss","Total; Estimate; $10,000 to $14,999","Total; Margin of Error; $10,000 to $14,999","Male; Estimate; $10,000 to $14,999","Male; Margin of Error; $10,000 to $14,999","Female; Estimate; $10,000 to $14,999","Female; Margin of Error; $10,000 to $14,999","Total; Estimate; $15,000 to $24,999","Total; Margin of Error; $15,000 to $24,999","Male; Estimate; $15,000 to $24,999","Male; Margin of Error; $15,000 to $24,999","Female; Estimate; $15,000 to $24,999","Female; Margin of Error; $15,000 to $24,999","Total; Estimate; $25,000 to $34,999","Total; Margin of Error; $25,000 to $34,999","Male; Estimate; $25,000 to $34,999","Male; Margin of Error; $25,000 to $34,999","Female; Estimate; $25,000 to $34,999","Female; Margin of Error; $25,000 to $34,999","Total; Estimate; $35,000 to $49,999","Total; Margin of Error; $35,000 to $49,999","Male; Estimate; $35,000 to $49,999","Male; Margin of Error; $35,000 to $49,999","Female; Estimate; $35,000 to $49,999","Female; Margin of Error; $35,000 to $49,999","Total; Estimate; $50,000 to $64,999","Total; Margin of Error; $50,000 to $64,999","Male; Estimate; $50,000 to $64,999","Male; Margin of Error; $50,000 to $64,999","Female; Estimate; $50,000 to $64,999","Female; Margin of Error; $50,000 to $64,999","Total; Estimate; $65,000 to $74,999","Total; Margin of Error; $65,000 to $74,999","Male; Estimate; $65,000 to $74,999","Male; Margin of Error; $65,000 to $74,999","Female; Estimate; $65,000 to $74,999","Female; Margin of Error; $65,000 to $74,999","Total; Estimate; $75,000 to $99,999","Total; Margin of Error; $75,000 to $99,999","Male; Estimate; $75,000 to $99,999","Male; Margin of Error; $75,000 to $99,999","Female; Estimate; $75,000 to $99,999","Female; Margin of Error; $75,000 to $99,999","Total; Estimate; $100,000 or more","Total; Margin of Error; $100,000 or more","Male; Estimate; $100,000 or more","Male; Margin of Error; $100,000 or more","Female; Estimate; $100,000 or more","Female; Margin of Error; $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",88856,3277,48522,1892,40334,2181,24369,1493,31632,3125,20353,2395,55653,3266,33151,2255,22502,2316,2.4,1.2,1.1,1.0,4.4,2.8,6.4,2.0,6.2,2.5,6.7,3.3,22.0,3.6,16.8,4.4,29.7,6.7,13.7,2.8,11.6,3.5,16.9,4.6,19.4,3.2,18.9,3.9,20.1,4.9,12.7,2.6,13.9,3.6,10.9,3.0,7.3,2.2,10.0,3.4,3.5,3.0,7.1,2.2,7.9,2.5,5.9,3.1,8.9,1.7,13.7,2.6,2.0,1.3,(X),(X),42884,4779,30205,5140,49495,2966,58990,4021,35507,3052,26080,1569,35858,3967,21911,1699,18879,4061,21044,2600,11325,1495,21433,1576,25965,4711,15527,2382,26147,4173,37814,5526,23422,1413,46288,5350,61736,9903,31947,7188,50166,15130,65572,44213,47421,15044,18.7,(X),(X),(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",52705,2302,27896,1475,24809,1485,23362,3553,31097,5750,17488,2471,30626,2330,17994,1856,12632,1664,2.0,1.1,1.4,1.3,2.8,2.0,7.4,2.5,5.6,3.1,9.9,4.2,19.3,3.9,12.8,4.5,28.5,6.6,16.2,4.3,12.7,4.3,21.2,7.0,20.6,3.8,23.7,5.3,16.3,4.9,16.5,3.6,18.2,4.5,14.1,6.0,6.0,2.3,8.1,3.5,2.9,2.9,8.1,2.4,11.3,4.3,3.5,2.0,4.0,2.1,6.2,3.5,0.8,1.0,(X),(X),46259,3896,28095,3066,44236,3743,51870,5664,33361,2669,29015,3049,37954,5998,22139,3101,16728,4705,24702,5236,10906,6826,26313,3073,32453,8099,20572,2273,31010,5581,45600,8389,25859,4425,37381,11658,49657,6456,32372,7443,52458,8760,56661,12630,50110,12869,22.1,(X),(X),(X),(X),(X)
0500000US01043,01043,"Cullman County, Alabama",36823,2348,19542,1553,17281,1359,20902,2691,22266,4848,19755,2265,20186,2068,10898,1393,9288,1268,2.8,2.1,1.8,1.7,4.0,3.9,6.7,3.0,4.4,2.6,9.5,6.1,21.6,5.5,18.8,7.1,24.9,9.1,22.2,4.8,29.0,7.1,14.3,6.5,21.9,4.6,18.3,6.1,26.1,7.8,10.7,3.4,11.9,3.9,9.2,5.6,1.9,1.3,2.1,1.5,1.7,2.2,8.0,3.4,8.0,4.6,7.9,4.8,4.2,2.1,5.8,2.9,2.3,3.4,(X),(X),33095,3611,31578,5979,42929,4628,46491,7539,38750,6489,25043,3410,29485,3600,21991,2454,15883,2923,15528,4323,17853,7798,25211,4798,30604,2965,18723,2996,26257,4077,28766,5331,24835,3295,37363,7971,52093,10490,30908,24751,49495,2940,53822,26712,48870,6764,13.1,(X),(X),(X),(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",32236,1766,18079,1273,14157,1240,21781,1736,26595,3543,19210,3225,18618,2116,10289,1438,8329,1352,1.5,1.3,2.4,2.3,0.3,0.4,10.8,5.0,5.9,4.2,16.9,8.1,28.8,7.7,20.8,6.8,38.8,11.4,22.3,5.4,21.8,6.2,22.9,7.8,20.2,5.7,22.9,6.5,16.8,8.1,7.5,3.1,12.5,5.0,1.4,1.4,1.6,1.2,1.7,1.7,1.4,1.5,3.0,2.3,5.3,4.1,0.3,0.5,4.3,2.2,6.7,3.8,1.3,1.4,(X),(X),34513,3800,22064,2826,35659,3474,43285,5640,26238,2665,25562,2561,30914,3335,20545,2111,19583,2243,20046,2405,18824,5375,25668,3605,30185,3269,18469,3806,28873,5176,39361,3773,20362,4024,30832,2169,60560,16469,29579,11891,44634,3926,50638,3510,43433,1938,14.3,(X),(X),(X),(X),(X)
0500000US01051,01051,"Elmore County, Alabama",39778,2437,19573,1437,20205,2504,28365,2520,39316,4316,21511,1770,26349,2154,14110,1423,12239,2015,1.2,1.1,1.8,1.9,0.5,0.7,3.8,1.9,0.6,0.7,7.6,4.1,18.2,3.5,11.6,3.8,25.8,6.5,19.6,3.9,15.3,4.8,24.7,6.0,19.9,4.0,19.9,5.0,20.0,5.9,19.2,4.4,22.0,6.1,15.9,5.1,3.9,2.2,6.4,4.0,1.0,1.1,5.5,2.3,7.5,3.7,3.2,2.4,8.6,2.7,14.9,4.6,1.4,1.2,(X),(X),50212,3945,30395,2211,48435,3711,59487,6038,35693,2707,31705,2591,45717,4967,25435,3643,31156,3054,32419,8420,18025,10260,25722,2549,31866,12568,19175,5920,29617,3077,45746,6874,24457,5099,46506,11847,63960,5963,36567,4879,51276,9618,70484,30580,35398,10587,14.8,(X),(X),(X),(X),(X)
0500000US01055,01055,"Etowah County, Alabama",44911,2616,24269,1495,20642,1765,22562,2392,29256,3736,16561,2189,25507,2646,14907,1779,10600,1442,3.2,1.9,3.0,2.7,3.5,2.8,6.1,2.4,2.7,2.0,10.9,4.8,20.5,4.4,15.9,5.5,27.0,7.0,18.8,4.1,20.1,5.2,16.9,6.3,26.9,6.1,29.6,7.8,23.0,7.1,13.8,4.1,15.4,5.6,11.4,4.5,3.9,1.9,4.2,2.5,3.4,2.7,3.7,1.6,4.5,2.3,2.5,2.0,3.2,1.4,4.5,2.2,1.2,1.5,(X),(X),39183,3731,30895,3324,42396,4344,48202,6433,34231,2997,27019,3988,31552,2930,20664,2499,20122,9564,29991,4326,11385,6476,20971,1296,24408,7864,15255,3311,31765,3601,40969,8297,24570,4615,28937,6236,27915,6160,31778,8809,48978,2628,49444,2980,44531,11166,16.7,(X),(X),(X),(X),(X)
0500000US01069,01069,"Houston County, Alabama",51811,1271,25915,923,25896,944,25606,1010,31464,1029,20696,1213,33151,1473,18657,1014,14494,855,3.7,1.2,2.7,1.3,4.9,2.2,6.4,1.4,4.7,1.7,8.6,2.3,20.0,2.4,16.4,2.9,24.7,3.9,19.8,2.2,16.8,3.0,23.5,3.3,22.1,2.2,21.6,2.9,22.9,3.6,13.3,2.1,16.4,3.0,9.3,2.2,3.6,1.2,4.7,1.9,2.1,1.2,6.6,1.4,9.3,2.3,3.0,1.4,4.6,0.9,7.4,1.7,0.9,0.7,(X),(X),40820,1353,29800,1843,42434,1630,49996,2609,32701,1440,29097,1931,36002,1909,23870,1514,15995,2392,21820,5908,10028,1962,24246,2671,28131,4072,19277,2221,28233,2055,37477,4038,24774,1455,41967,2817,48183,4298,37174,4080,50981,1593,61220,10720,44597,5288,17.9,(X),(X),(X),(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",330137,5392,165427,3419,164710,4573,26796,752,31281,1059,23460,1071,206549,5870,108728,4264,97821,4204,2.8,0.6,1.6,0.6,4.2,1.3,5.2,1.1,5.0,1.3,5.4,1.4,17.2,1.3,14.6,1.9,20.0,1.9,17.3,1.5,15.1,2.1,19.8,2.1,21.3,1.5,19.8,2.0,23.0,2.3,14.0,1.4,16.0,2.0,11.7,2.0,6.1,1.0,6.3,1.2,5.8,1.3,7.3,1.0,8.6,1.3,5.8,1.5,8.9,1.0,13.0,1.6,4.3,1.1,(X),(X),43333,2652,35268,1405,50955,1576,59282,2687,41699,1783,31701,600,36701,1112,27106,1250,15051,2361,17929,2240,11525,1886,22687,1646,27213,2363,19968,1448,31050,980,37030,2749,27005,1741,43305,3267,53083,3029,37734,2827,54607,3016,71076,10403,47985,3974,17.3,(X),(X),(X),(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",46105,1761,23057,1294,23048,1546,23454,3411,30831,2123,18378,2484,26999,2233,15327,1376,11672,1700,4.3,2.3,4.0,3.3,4.7,3.8,5.9,2.4,4.7,3.1,7.5,4.0,17.8,4.8,12.2,4.4,25.1,7.4,17.6,3.8,16.2,4.5,19.5,6.4,22.4,3.9,23.5,4.9,21.1,5.7,12.0,3.4,11.3,4.4,12.9,4.7,6.0,2.6,7.9,3.6,3.6,3.0,7.4,2.7,11.1,4.9,2.6,2.1,6.5,2.5,9.1,3.4,3.1,3.1,(X),(X),41098,3611,27330,6151,44314,3422,51218,4890,35247,3456,28094,3821,37300,3564,21693,2377,18078,11403,20722,9948,9381,12205,20839,2866,34861,7619,16147,2827,28900,6850,39029,17575,26617,2876,39435,13388,60672,13183,28433,7502,51154,6031,50539,12030,51509,11541,20.6,(X),(X),(X),(X),(X)
