GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",1929,282,1057,229,18,36,0,11,0,11,42,45,80,56,28,23,38,35,51,40,519,174,17,17,158,55,62,56,44,41,0,11,0,11,0,11,872,138,0,11,0,11,11,18,12,18,68,37,88,65,82,51,20,23,266,102,92,55,109,72,65,46,21,26,38,41,0,11,0,11
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",1638,205,721,121,50,60,0,11,0,11,16,19,42,28,23,22,43,42,48,37,305,80,27,25,86,47,70,54,11,18,0,11,0,11,0,11,917,151,42,43,17,27,0,11,26,20,49,56,8,14,68,52,39,35,373,88,51,31,108,68,97,61,39,31,0,11,0,11,0,11
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",3435,263,1637,203,34,28,0,16,0,16,16,17,45,35,104,57,81,66,54,39,750,159,103,61,222,90,109,69,93,63,19,18,7,10,0,16,1798,181,20,23,0,16,0,16,41,28,54,48,84,60,44,44,35,32,593,132,92,56,401,134,206,90,143,64,85,50,0,16,0,16
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",977,114,377,86,6,10,4,6,0,11,6,10,19,22,20,23,44,28,45,34,143,65,17,18,42,29,6,8,6,8,19,19,0,11,0,11,600,88,0,11,18,22,0,11,4,6,9,9,27,25,48,29,4,7,222,63,48,28,108,62,58,35,32,19,22,20,0,11,0,11
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1907,253,866,235,0,11,0,11,0,11,12,19,38,24,33,44,70,68,30,32,390,207,78,43,113,65,40,48,27,23,25,39,0,11,10,16,1041,142,0,11,7,12,0,11,9,12,47,46,25,28,28,30,0,11,472,130,45,39,204,89,85,50,109,69,10,16,0,11,0,11
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",1455,157,662,106,12,18,0,11,0,11,31,36,6,9,3,5,17,13,12,13,311,102,67,52,109,47,18,18,61,48,10,12,5,7,0,11,793,90,10,11,0,11,5,8,23,20,6,8,9,9,33,23,15,12,330,68,32,30,162,64,66,34,63,29,24,19,9,16,6,9
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",1316,137,621,103,8,9,0,11,0,11,0,11,5,8,0,11,18,27,0,11,289,85,54,36,125,54,57,50,46,61,15,11,4,6,0,11,695,91,14,20,0,11,5,9,0,11,58,57,5,7,70,47,0,11,203,84,28,32,182,76,57,47,16,14,57,56,0,11,0,11
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",1526,203,572,120,0,11,19,31,0,11,13,16,20,26,0,11,50,64,0,11,309,101,22,23,98,61,0,11,10,16,31,46,0,11,0,11,954,148,10,17,0,11,0,11,39,38,36,46,0,11,46,52,0,11,314,145,31,31,320,119,28,25,98,69,26,38,0,11,6,11
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",2222,244,961,154,17,21,0,11,0,11,12,16,3,7,40,36,14,16,20,19,308,101,97,60,286,119,19,20,90,53,20,18,27,42,8,14,1261,178,0,11,11,19,6,10,27,30,13,14,31,28,27,29,4,7,395,118,44,37,286,109,70,55,219,100,114,65,0,11,14,16
