GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma","Estimate; Male: - High school graduate, GED, or alternative","Margin of Error; Male: - High school graduate, GED, or alternative","Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma","Estimate; Female: - High school graduate, GED, or alternative","Margin of Error; Female: - High school graduate, GED, or alternative","Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0500000US01003,01003,"Baldwin County, Alabama",133433,1210,64611,861,149,136,49,86,1199,935,1451,732,1233,716,1963,1153,1244,672,913,521,19286,2021,3103,775,11022,1693,4123,1190,12983,1662,3232,867,1620,678,1041,672,68822,1156,445,328,298,330,215,186,797,452,1138,552,1071,455,1626,654,577,327,18581,2521,4530,977,12966,2184,6565,1477,12551,1648,4738,922,1464,897,1260,629
0500000US01015,01015,"Calhoun County, Alabama",77984,713,36106,613,229,137,337,285,190,163,1487,712,1059,543,1302,629,1925,769,874,470,11423,1440,3302,956,5661,1061,1968,656,4225,960,1498,481,444,293,182,190,41878,551,603,352,197,313,266,188,1454,583,1103,533,1955,849,1673,605,1133,509,14337,1558,3149,649,5827,1070,3338,918,4157,944,2114,729,237,203,335,309
0500000US01043,01043,"Cullman County, Alabama",55658,229,27193,377,351,221,79,135,167,198,1590,689,1086,460,1001,522,1049,513,479,242,9031,1343,1507,492,5533,958,2231,723,1888,696,574,309,565,343,62,87,28465,327,199,155,155,182,476,264,694,335,751,376,245,196,326,269,580,287,9269,1121,2091,625,5504,937,4323,924,2053,601,1562,585,175,201,62,88
0500000US01049,01049,"DeKalb County, Alabama",45797,445,21560,445,418,304,91,112,543,319,936,420,701,455,1509,731,1416,671,345,242,9229,1371,469,249,2453,760,1808,607,1259,492,201,167,106,133,76,75,24237,*****,295,245,376,294,431,302,750,416,977,516,1020,602,1302,721,233,357,9742,1298,1675,598,2647,800,2695,788,1130,521,824,417,140,148,0,184
0500000US01051,01051,"Elmore County, Alabama",54653,525,25414,316,179,235,0,184,114,169,416,246,531,287,682,411,928,381,873,444,10703,1101,592,268,3619,786,1987,534,3169,658,1364,503,161,154,96,114,29239,626,159,188,0,184,140,162,162,152,238,169,568,434,738,474,484,342,10345,1374,1910,710,5679,1226,2296,900,4098,914,2264,766,90,145,68,112
0500000US01055,01055,"Etowah County, Alabama",71725,555,33356,421,888,412,275,252,741,457,783,533,378,237,1363,524,1155,454,1097,556,12677,1376,2059,817,5301,1089,2034,640,3262,822,792,452,515,310,36,85,38369,477,1048,468,242,288,201,153,1254,476,942,355,1880,843,1348,470,442,335,12294,1339,2745,621,5565,1127,4234,894,4251,1070,1588,540,175,169,160,197
0500000US01069,01069,"Houston County, Alabama",69979,175,32533,276,366,144,145,88,143,76,1162,457,754,251,1003,260,1459,453,483,183,11400,838,1788,299,4494,516,2098,324,5093,644,1343,362,586,165,216,102,37446,212,486,188,220,176,178,92,772,211,727,236,1027,379,1124,271,787,220,12613,860,2689,348,5620,650,3101,461,5149,667,2317,560,307,113,329,196
0500000US01073,01073,"Jefferson County, Alabama",442653,456,202486,326,1024,380,790,396,1861,651,3180,803,3001,1143,5433,1223,7044,1409,3824,1012,52358,3192,10884,1472,36946,2773,11565,1554,36784,2455,15692,1611,8251,1332,3849,847,240167,389,2230,814,515,331,1373,463,2616,754,2619,784,4927,1327,7832,1600,3621,788,60277,3230,13850,1758,48020,2804,21171,2486,43784,3153,19720,2037,4720,998,2892,872
0500000US01077,01077,"Lauderdale County, Alabama",62927,799,29653,562,250,241,0,184,166,148,643,267,1241,610,683,460,1098,532,577,378,10203,1274,2377,789,4687,1140,1303,600,3225,873,2179,747,536,288,485,414,33274,412,594,410,61,103,211,198,1160,549,665,280,1264,502,1681,745,515,329,11252,1247,1927,634,4807,1042,2061,640,4450,898,2164,700,402,225,60,75
