GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",104705,819,50144,610,1832,778,4216,1129,13945,1693,11653,1730,3460,973,9876,1401,5162,1006,54561,424,922,445,3556,936,17320,1696,13379,1963,4721,988,9517,1312,5146,1164
0500000US01015,01015,"Calhoun County, Alabama",60313,342,28581,195,1388,545,4192,1073,9249,1101,6888,1125,2109,595,2390,716,2365,757,31732,284,2156,662,4636,983,12507,1377,5721,989,2080,741,2843,740,1789,575
0500000US01043,01043,"Cullman County, Alabama",53112,612,25617,457,2543,784,5258,1199,7199,893,4643,992,2697,952,2149,697,1128,489,27495,356,2314,754,4344,1127,9078,1387,5258,1026,2641,923,2335,741,1525,517
0500000US01049,01049,"DeKalb County, Alabama",43516,458,20779,456,2005,708,4358,999,7402,1252,3454,922,843,479,1450,586,1267,552,22737,480,2427,792,3641,780,7375,1128,4803,1089,1767,733,1074,814,1650,522
0500000US01051,01051,"Elmore County, Alabama",39398,121,19258,74,1083,447,2069,683,6099,828,4002,913,1168,437,3458,854,1379,472,20140,77,870,424,1859,614,7301,988,3792,857,1336,515,3587,815,1395,469
0500000US01055,01055,"Etowah County, Alabama",60394,232,28518,166,2996,731,3262,773,8998,1034,7149,1014,1572,581,2707,615,1834,595,31876,316,2537,739,3198,840,11040,1148,7268,1125,3500,910,2473,676,1860,596
0500000US01069,01069,"Houston County, Alabama",48670,154,22753,119,694,200,2297,450,7151,740,6051,663,1416,345,3332,484,1812,396,25917,87,1022,278,3468,637,8459,931,5680,689,2075,401,3223,608,1990,389
0500000US01073,01073,"Jefferson County, Alabama",260455,1109,123444,849,5267,1250,9234,1433,28100,2316,26209,2287,6142,1186,29709,2172,18783,1821,137011,563,4030,955,10402,1530,40718,2593,29201,2293,7273,1014,26846,2002,18541,1930
0500000US01077,01077,"Lauderdale County, Alabama",53771,351,25390,206,1363,552,3458,862,9935,1333,4949,1051,491,329,2886,671,2308,607,28381,189,1482,605,3571,911,10240,1429,5221,919,1730,479,3902,795,2235,647
