GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",109719,570,52589,323,1663,677,2999,785,10036,1705,2797,837,15073,2089,4496,1080,10315,1578,5210,1054,57130,436,1702,755,3771,876,14897,1667,1916,788,14499,1807,4441,985,11177,1674,4727,1100
0500000US01015,01015,"Calhoun County, Alabama",60978,393,28811,243,1977,623,4410,993,7145,1171,1786,556,5926,1071,1705,519,3568,845,2294,589,32167,240,2562,652,3873,960,9030,1246,2222,678,7059,1187,2436,703,2706,710,2279,841
0500000US01043,01043,"Cullman County, Alabama",54576,403,26213,437,2602,894,4997,993,5911,1005,1593,554,5970,1048,1740,556,2481,799,919,364,28363,178,1917,709,4107,1072,8029,1304,2148,671,5509,994,2830,721,2145,816,1678,624
0500000US01049,01049,"DeKalb County, Alabama",44208,923,21117,667,3752,1271,3204,816,6254,1197,741,361,3701,947,1068,604,1620,748,777,333,23091,382,2773,760,6330,1581,6924,1400,1148,536,2414,675,1596,597,1082,515,824,465
0500000US01051,01051,"Elmore County, Alabama",40881,135,19948,93,944,508,1455,635,5199,1009,1450,517,4881,981,1025,375,3050,624,1944,637,20933,63,428,335,1383,882,4606,790,690,338,6938,1058,1128,420,3996,1169,1764,635
0500000US01055,01055,"Etowah County, Alabama",60946,334,28978,216,1074,461,2811,765,7460,1206,3437,860,7610,1441,1791,632,3503,825,1292,487,31968,314,877,477,4234,969,7852,1162,1671,651,9410,1387,2668,744,3586,855,1670,577
0500000US01069,01069,"Houston County, Alabama",50214,243,23573,118,1545,434,2062,433,5772,667,1553,385,5567,684,1718,465,3502,573,1854,369,26641,153,1482,480,2590,403,7061,619,1566,312,6629,616,2448,520,2921,474,1944,391
0500000US01073,01073,"Jefferson County, Alabama",260052,1588,122606,992,3862,1015,8253,1543,26619,2772,6203,1030,25371,2465,6171,1467,29338,2048,16789,1680,137446,989,3939,1002,9471,1377,34646,2444,5040,1065,28493,2229,7730,1191,29534,2425,18593,1886
0500000US01077,01077,"Lauderdale County, Alabama",55467,279,26106,142,1850,845,2715,808,8052,1461,1628,674,5799,1156,1128,496,3074,800,1860,536,29361,136,2040,789,3099,960,8797,1350,1597,526,5243,989,2200,572,4444,1074,1941,636
0500000US01081,01081,"Lee County, Alabama",52083,614,25682,158,818,380,2913,826,4387,917,1000,358,5534,1016,1765,457,5596,782,3669,577,26401,611,576,349,2385,734,5019,964,2198,810,5100,947,2196,628,5760,848,3167,582
0500000US01083,01083,"Limestone County, Alabama",45389,539,22044,371,1798,670,2127,858,6167,1270,1537,752,4199,1091,1184,510,3584,846,1448,386,23345,539,1461,666,2957,900,5272,1105,1574,733,5180,1005,2592,970,3199,790,1110,399
0500000US01089,01089,"Madison County, Alabama",160009,521,78028,472,2719,893,4296,1027,9812,1487,3217,853,16213,1985,5438,1238,22228,1959,14105,1809,81981,407,2773,876,4725,1025,15201,1778,3502,1016,18782,1728,7218,1252,20780,1933,9000,1312
0500000US01095,01095,"Marshall County, Alabama",56581,629,26925,408,2281,672,5105,1346,6841,1181,1883,681,5049,1052,1634,683,3096,731,1036,407,29656,375,3404,1001,4675,1225,7254,1264,2478,602,5599,854,2554,757,2159,772,1533,732
0500000US01097,01097,"Mobile County, Alabama",172715,719,82062,287,4105,963,9280,1374,21301,2082,4290,930,18578,2118,6306,1461,11984,1603,6218,883,90653,613,3046,767,10857,1898,26101,2647,4258,980,20272,1927,6539,1402,13182,1869,6398,1043
0500000US01101,01101,"Montgomery County, Alabama",67831,331,31933,266,779,405,1137,551,6766,1240,1303,511,5863,895,1641,605,7966,1181,6478,1074,35898,236,469,280,1954,644,7849,955,1141,597,8836,1215,1824,697,9023,1120,4802,1042
0500000US01103,01103,"Morgan County, Alabama",67966,853,32998,532,2062,739,3878,995,6867,1331,2222,964,7760,1390,2029,750,5519,924,2661,862,34968,389,2612,745,3962,960,8275,1215,1859,717,8357,1443,2441,768,5403,1044,2059,599
0500000US01115,01115,"St. Clair County, Alabama",50066,1099,24337,804,1768,741,2193,741,6709,1319,3030,723,5887,1225,1411,608,2752,981,587,287,25729,821,1120,475,3221,974,6932,1196,2204,793,5244,1094,1666,667,3627,998,1715,817
0500000US01117,01117,"Shelby County, Alabama",109269,1136,52883,689,941,312,2803,666,8603,1548,1965,477,10351,1310,2561,897,17781,1825,7878,1278,56386,528,1474,542,1909,654,11020,1337,2164,692,13583,1406,4063,957,15551,1475,6622,906
0500000US01121,01121,"Talladega County, Alabama",37564,348,18069,183,1554,605,2377,711,5152,1182,1047,425,4693,1076,853,511,1445,532,948,437,19495,191,1536,596,3320,994,4259,999,1977,703,3381,843,1920,749,1665,647,1437,575
0500000US01125,01125,"Tuscaloosa County, Alabama",74002,705,36106,428,1628,585,2644,773,9315,1253,2358,600,8250,1185,1293,467,6154,945,4464,1019,37896,353,1328,529,2732,650,8978,1135,1674,577,9391,1279,2668,670,6415,1162,4710,849
0500000US01127,01127,"Walker County, Alabama",44314,242,20758,131,1714,479,3559,883,6194,1119,1580,617,3765,937,1061,449,1950,591,935,386,23556,193,1605,424,3827,844,6163,1103,1462,561,5452,1067,2781,969,1382,437,884,434
