GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",11886,806,5440,586,814,666,1042,542,1183,672,262,306,1257,656,0,189,269,447,613,571,6446,552,436,307,1092,617,809,445,320,332,1728,828,677,531,833,460,551,544
0500000US01015,01015,"Calhoun County, Alabama",15221,650,6502,622,377,325,1273,594,1805,665,206,167,1856,561,176,171,564,456,245,175,8719,218,446,217,1641,591,2017,566,371,336,2228,549,427,357,1030,551,559,340
0500000US01051,01051,"Elmore County, Alabama",10677,750,5219,665,24,38,921,351,1429,451,1597,782,433,220,429,323,294,264,92,133,5458,353,63,87,927,544,1930,667,149,164,277,226,539,654,1035,688,538,473
0500000US01055,01055,"Etowah County, Alabama",9697,367,4367,286,37,68,545,293,1802,606,239,272,930,439,218,181,484,389,112,137,5330,341,251,169,824,394,1195,405,168,145,1640,501,621,319,336,221,295,185
0500000US01069,01069,"Houston County, Alabama",17329,187,7522,155,643,191,1340,349,2500,371,527,215,1779,307,313,138,272,131,148,92,9807,107,574,217,2222,492,2399,362,370,138,2309,398,861,311,765,249,307,147
0500000US01073,01073,"Jefferson County, Alabama",178510,948,76616,640,2912,857,8800,1671,23371,2518,3754,995,21380,2228,5097,1153,8386,1846,2916,766,101894,692,2454,690,9432,1492,25605,2181,3013,727,28006,2081,12451,1679,13805,1819,7128,1363
0500000US01077,01077,"Lauderdale County, Alabama",6299,572,2607,468,177,160,427,252,860,556,172,186,612,401,123,161,201,262,35,61,3692,437,85,108,402,242,976,430,295,314,1036,543,94,112,471,377,333,295
0500000US01081,01081,"Lee County, Alabama",21692,665,9727,280,692,472,1474,659,2774,945,1143,629,1840,938,628,459,901,647,275,225,11965,531,795,447,1857,844,4332,1190,352,295,2375,844,1063,616,829,536,362,294
0500000US01083,01083,"Limestone County, Alabama",9059,853,4874,470,94,96,1005,525,1401,730,540,464,662,426,468,347,464,309,240,397,4185,630,80,109,361,295,1636,623,103,125,1400,696,187,165,211,250,207,332
