GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01073,01073,"Jefferson County, Alabama",9817,*****,5928,*****,1261,954,1247,552,1361,654,937,436,154,193,509,451,459,398,3889,*****,771,538,603,510,760,420,729,503,37,71,512,336,477,386
0500000US01089,01089,"Madison County, Alabama",4100,305,2118,268,1139,327,242,192,148,174,98,90,30,54,404,218,57,98,1982,249,514,318,190,293,627,323,49,82,140,136,347,246,115,143
0500000US02020,02020,"Anchorage Municipality, Alaska",10296,477,5325,*****,681,655,867,372,1608,501,991,415,124,135,750,408,304,333,4971,476,1124,764,265,194,1475,542,1212,423,171,167,559,419,165,200
0500000US04003,04003,"Cochise County, Arizona",21528,1251,9900,602,2120,448,1367,540,2939,873,1954,737,572,425,696,483,252,262,11628,860,2783,962,1404,537,2936,987,2196,1003,1163,675,744,471,402,282
0500000US04005,04005,"Coconino County, Arizona",7134,442,3651,275,908,489,355,248,948,488,919,460,63,109,325,313,133,160,3483,274,443,253,800,491,994,460,596,302,160,161,268,191,222,293
0500000US04013,04013,"Maricopa County, Arizona",569758,*****,305607,*****,77666,5990,54866,3952,83413,5794,46581,3644,17282,2835,18434,2461,7365,1587,264151,*****,59295,5018,48309,3818,70167,4597,42175,2987,15318,2033,20971,2270,7916,1880
0500000US04015,04015,"Mohave County, Arizona",13966,467,6861,*****,1248,695,1881,594,1670,668,1327,573,272,356,441,300,22,40,7105,467,971,444,1447,724,1993,678,1360,612,692,593,424,410,218,210
0500000US04019,04019,"Pima County, Arizona",163442,*****,78370,*****,10030,1623,12459,1732,26732,2360,15276,2029,5031,1126,6246,1356,2596,737,85072,*****,13399,1628,12405,1774,26468,2206,16916,2196,6844,1372,6189,1029,2851,957
0500000US04021,04021,"Pinal County, Arizona",42740,*****,24435,*****,5777,1179,4935,1061,7532,1399,3636,911,1427,741,472,269,656,382,18305,*****,3378,849,2617,852,5701,1147,3940,1128,886,494,1309,569,474,268
0500000US04025,04025,"Yavapai County, Arizona",13418,589,7179,*****,1757,670,1367,484,2320,848,882,356,35,68,818,556,0,291,6239,589,942,518,1079,620,2122,970,1675,622,288,251,133,160,0,291
0500000US04027,04027,"Yuma County, Arizona",50755,*****,24023,*****,7648,1009,3619,962,5658,1126,3865,939,1499,796,1049,517,685,397,26732,*****,8563,1031,3885,983,6436,1178,4271,964,1576,746,834,440,1167,630
