GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01069,01069,"Houston County, Alabama",1949,114,956,175,330,337,73,78,251,191,0,184,100,94,79,95,55,53,68,75,993,93,50,46,151,150,109,97,252,251,128,96,136,113,142,140,25,38
0500000US01073,01073,"Jefferson County, Alabama",13395,*****,7804,*****,1806,714,1388,618,2867,821,65,90,953,562,50,83,226,203,449,257,5591,*****,757,386,497,379,1431,596,122,141,1190,534,267,283,1171,663,156,131
0500000US01089,01089,"Madison County, Alabama",7738,530,3851,395,557,396,458,384,424,359,0,184,559,331,306,352,769,483,778,424,3887,493,150,186,141,180,654,344,159,157,1445,645,281,227,908,498,149,149
0500000US01117,01117,"Shelby County, Alabama",5722,680,3126,544,1030,480,535,381,1143,511,0,184,134,130,29,54,212,168,43,57,2596,272,416,361,646,356,504,378,0,184,745,413,13,23,255,302,17,33
0500000US02020,02020,"Anchorage Municipality, Alaska",12540,675,5662,491,276,268,529,413,1246,398,163,196,1499,480,577,521,629,447,743,444,6878,446,767,380,629,519,981,548,0,143,2186,690,748,517,1103,595,464,369
0500000US04003,04003,"Cochise County, Arizona",24151,*****,11795,*****,2786,638,1633,585,1733,526,1327,473,2458,746,798,398,446,211,614,322,12356,*****,2676,649,1813,656,2408,673,309,212,2941,753,1327,512,748,394,134,132
0500000US04005,04005,"Coconino County, Arizona",8486,494,4603,446,386,283,916,613,961,346,306,224,775,350,660,637,156,169,443,309,3883,206,210,163,100,91,1344,538,181,168,761,442,573,351,404,318,310,185
0500000US04013,04013,"Maricopa County, Arizona",592761,*****,294101,*****,62128,3386,49154,3945,66366,4810,13585,1959,52304,4229,15941,2097,23690,2678,10933,1766,298660,*****,61175,4016,44526,3553,66226,3946,13667,1965,57904,3345,19146,2491,25536,2314,10480,1697
0500000US04015,04015,"Mohave County, Arizona",17932,938,9694,938,2408,1189,2897,1223,1294,636,1133,512,1381,602,234,295,304,283,43,88,8238,*****,2043,753,980,548,1906,715,244,265,1411,508,1010,610,584,443,60,104
0500000US04017,04017,"Navajo County, Arizona",5994,374,3330,264,474,311,695,295,943,487,415,298,549,321,104,147,68,117,82,101,2664,211,411,299,690,365,316,190,178,186,773,305,140,134,45,69,111,129
0500000US04019,04019,"Pima County, Arizona",190716,*****,90556,*****,10516,1417,12899,2079,19163,1878,5010,971,24343,2354,6726,1370,8205,1427,3694,776,100160,*****,13359,1762,14126,1898,21124,1843,4506,1006,24912,1950,6917,1476,10583,1707,4633,1009
0500000US04021,04021,"Pinal County, Arizona",60221,*****,33316,*****,6898,1319,6841,1267,7458,1372,1976,593,6333,1565,1897,730,1219,537,694,439,26905,*****,4807,1111,4184,1011,6141,1482,994,415,7012,1278,1628,599,1467,592,672,336
0500000US04025,04025,"Yavapai County, Arizona",15361,467,7854,*****,1257,815,826,395,1717,730,749,709,2186,871,312,315,535,297,272,331,7507,467,2059,970,1466,758,1493,661,112,152,1224,502,390,365,462,382,301,389
