GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1400000US21001970100,21001970100,"Census Tract 9701, Adair County, Kentucky",32050,5496
1400000US21001970200,21001970200,"Census Tract 9702, Adair County, Kentucky",38882,7804
1400000US21001970300,21001970300,"Census Tract 9703, Adair County, Kentucky",26103,2821
1400000US21001970401,21001970401,"Census Tract 9704.01, Adair County, Kentucky",30800,8525
1400000US21001970402,21001970402,"Census Tract 9704.02, Adair County, Kentucky",37798,9784
1400000US21001970500,21001970500,"Census Tract 9705, Adair County, Kentucky",39321,9176
1400000US21001970600,21001970600,"Census Tract 9706, Adair County, Kentucky",24800,9689
1400000US21003920100,21003920100,"Census Tract 9201, Allen County, Kentucky",48962,6772
1400000US21003920200,21003920200,"Census Tract 9202, Allen County, Kentucky",47358,8515
1400000US21003920300,21003920300,"Census Tract 9203, Allen County, Kentucky",45069,11769
1400000US21003920400,21003920400,"Census Tract 9204, Allen County, Kentucky",34176,6363
1400000US21003920500,21003920500,"Census Tract 9205, Allen County, Kentucky",39583,8925
1400000US21003920600,21003920600,"Census Tract 9206, Allen County, Kentucky",36500,5889
1400000US21005950100,21005950100,"Census Tract 9501, Anderson County, Kentucky",53313,6513
1400000US21005950201,21005950201,"Census Tract 9502.01, Anderson County, Kentucky",59621,9206
1400000US21005950202,21005950202,"Census Tract 9502.02, Anderson County, Kentucky",54482,10544
1400000US21005950300,21005950300,"Census Tract 9503, Anderson County, Kentucky",50278,5765
1400000US21005950400,21005950400,"Census Tract 9504, Anderson County, Kentucky",50690,7804
1400000US21007950100,21007950100,"Census Tract 9501, Ballard County, Kentucky",41283,3350
1400000US21007950200,21007950200,"Census Tract 9502, Ballard County, Kentucky",46422,4786
1400000US21007950300,21007950300,"Census Tract 9503, Ballard County, Kentucky",42344,4316
1400000US21009950100,21009950100,"Census Tract 9501, Barren County, Kentucky",53917,8676
1400000US21009950200,21009950200,"Census Tract 9502, Barren County, Kentucky",41733,4906
1400000US21009950300,21009950300,"Census Tract 9503, Barren County, Kentucky",36078,6132
1400000US21009950400,21009950400,"Census Tract 9504, Barren County, Kentucky",23780,4010
1400000US21009950500,21009950500,"Census Tract 9505, Barren County, Kentucky",27946,7222
1400000US21009950600,21009950600,"Census Tract 9506, Barren County, Kentucky",30417,4481
1400000US21009950700,21009950700,"Census Tract 9507, Barren County, Kentucky",52227,8824
1400000US21009950800,21009950800,"Census Tract 9508, Barren County, Kentucky",50262,4999
1400000US21009950900,21009950900,"Census Tract 9509, Barren County, Kentucky",41119,4401
1400000US21009951000,21009951000,"Census Tract 9510, Barren County, Kentucky",40750,6732
1400000US21011970100,21011970100,"Census Tract 9701, Bath County, Kentucky",33807,4656
1400000US21011970200,21011970200,"Census Tract 9702, Bath County, Kentucky",36484,4034
1400000US21011970300,21011970300,"Census Tract 9703, Bath County, Kentucky",27350,6108
1400000US21013960100,21013960100,"Census Tract 9601, Bell County, Kentucky",19699,6180
1400000US21013960200,21013960200,"Census Tract 9602, Bell County, Kentucky",20242,3005
1400000US21013960300,21013960300,"Census Tract 9603, Bell County, Kentucky",36808,7337
1400000US21013960400,21013960400,"Census Tract 9604, Bell County, Kentucky",30724,4231
1400000US21013960500,21013960500,"Census Tract 9605, Bell County, Kentucky",21680,5227
1400000US21013960600,21013960600,"Census Tract 9606, Bell County, Kentucky",16847,2545
1400000US21013960700,21013960700,"Census Tract 9607, Bell County, Kentucky",28925,5632
1400000US21013960800,21013960800,"Census Tract 9608, Bell County, Kentucky",25673,7549
1400000US21013961100,21013961100,"Census Tract 9611, Bell County, Kentucky",25120,7260
1400000US21015070100,21015070100,"Census Tract 701, Boone County, Kentucky",41271,5637
1400000US21015070200,21015070200,"Census Tract 702, Boone County, Kentucky",41641,7180
1400000US21015070301,21015070301,"Census Tract 703.01, Boone County, Kentucky",34590,11834
1400000US21015070305,21015070305,"Census Tract 703.05, Boone County, Kentucky",53322,5612
1400000US21015070307,21015070307,"Census Tract 703.07, Boone County, Kentucky",82115,10431
1400000US21015070308,21015070308,"Census Tract 703.08, Boone County, Kentucky",73046,9244
1400000US21015070309,21015070309,"Census Tract 703.09, Boone County, Kentucky",101204,7893
1400000US21015070311,21015070311,"Census Tract 703.11, Boone County, Kentucky",43052,8076
1400000US21015070312,21015070312,"Census Tract 703.12, Boone County, Kentucky",44598,11525
1400000US21015070313,21015070313,"Census Tract 703.13, Boone County, Kentucky",79938,12450
1400000US21015070314,21015070314,"Census Tract 703.14, Boone County, Kentucky",70954,9782
1400000US21015070401,21015070401,"Census Tract 704.01, Boone County, Kentucky",102719,10867
1400000US21015070402,21015070402,"Census Tract 704.02, Boone County, Kentucky",71000,11408
1400000US21015070502,21015070502,"Census Tract 705.02, Boone County, Kentucky",69177,8772
1400000US21015070503,21015070503,"Census Tract 705.03, Boone County, Kentucky",61188,8638
1400000US21015070504,21015070504,"Census Tract 705.04, Boone County, Kentucky",84972,9429
1400000US21015070601,21015070601,"Census Tract 706.01, Boone County, Kentucky",82847,9686
1400000US21015070604,21015070604,"Census Tract 706.04, Boone County, Kentucky",68780,13868
