GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US21001970100,21001970100,"Census Tract 9701, Adair County, Kentucky",1129,137,587,103,587,103,549,99,38,41,0,11,542,94
1400000US21001970200,21001970200,"Census Tract 9702, Adair County, Kentucky",1305,140,733,145,733,145,683,138,50,34,0,11,572,84
1400000US21001970300,21001970300,"Census Tract 9703, Adair County, Kentucky",2493,237,1381,200,1381,200,1247,192,134,76,0,11,1112,205
1400000US21001970401,21001970401,"Census Tract 9704.01, Adair County, Kentucky",3795,316,2148,275,2148,275,2025,280,123,76,0,11,1647,216
1400000US21001970402,21001970402,"Census Tract 9704.02, Adair County, Kentucky",3870,222,1954,192,1954,192,1778,197,176,89,0,11,1916,230
1400000US21001970500,21001970500,"Census Tract 9705, Adair County, Kentucky",1821,199,1102,170,1102,170,1046,174,56,34,0,11,719,130
1400000US21001970600,21001970600,"Census Tract 9706, Adair County, Kentucky",1050,176,437,104,437,104,372,97,65,44,0,11,613,124
1400000US21003920100,21003920100,"Census Tract 9201, Allen County, Kentucky",2735,254,1655,211,1655,211,1513,202,142,99,0,11,1080,186
1400000US21003920200,21003920200,"Census Tract 9202, Allen County, Kentucky",2079,196,1280,164,1280,164,1237,163,43,35,0,11,799,134
1400000US21003920300,21003920300,"Census Tract 9203, Allen County, Kentucky",3623,344,2133,295,2133,295,1944,290,189,98,0,11,1490,198
1400000US21003920400,21003920400,"Census Tract 9204, Allen County, Kentucky",3735,286,2220,279,2220,279,1963,271,257,99,0,11,1515,266
1400000US21003920500,21003920500,"Census Tract 9205, Allen County, Kentucky",1281,217,745,159,745,159,674,155,71,47,0,11,536,159
1400000US21003920600,21003920600,"Census Tract 9206, Allen County, Kentucky",2651,265,1410,150,1410,150,1245,137,165,94,0,11,1241,240
1400000US21005950100,21005950100,"Census Tract 9501, Anderson County, Kentucky",6387,292,4497,330,4497,330,4099,334,398,156,0,16,1890,275
1400000US21005950201,21005950201,"Census Tract 9502.01, Anderson County, Kentucky",4217,316,2856,261,2856,261,2727,276,129,97,0,16,1361,238
1400000US21005950202,21005950202,"Census Tract 9502.02, Anderson County, Kentucky",2784,241,1756,198,1756,198,1674,192,82,55,0,11,1028,154
1400000US21005950300,21005950300,"Census Tract 9503, Anderson County, Kentucky",1768,151,1057,121,1057,121,950,110,107,42,0,11,711,88
1400000US21005950400,21005950400,"Census Tract 9504, Anderson County, Kentucky",1899,199,1272,166,1269,167,1196,157,73,39,3,5,627,103
1400000US21007950100,21007950100,"Census Tract 9501, Ballard County, Kentucky",3592,160,2038,167,2028,165,1896,166,132,70,10,12,1554,139
1400000US21007950200,21007950200,"Census Tract 9502, Ballard County, Kentucky",1170,113,657,100,654,100,608,98,46,26,3,4,513,93
1400000US21007950300,21007950300,"Census Tract 9503, Ballard County, Kentucky",1852,135,1037,114,1037,114,985,113,52,26,0,11,815,90
1400000US21009950100,21009950100,"Census Tract 9501, Barren County, Kentucky",2722,195,1652,192,1638,195,1577,182,61,43,14,21,1070,168
1400000US21009950200,21009950200,"Census Tract 9502, Barren County, Kentucky",2999,225,1829,192,1829,192,1712,202,117,55,0,11,1170,151
1400000US21009950300,21009950300,"Census Tract 9503, Barren County, Kentucky",2389,284,1491,188,1484,189,1384,184,100,61,7,11,898,168
1400000US21009950400,21009950400,"Census Tract 9504, Barren County, Kentucky",4799,343,2278,371,2278,371,2143,364,135,87,0,16,2521,332
1400000US21009950500,21009950500,"Census Tract 9505, Barren County, Kentucky",3065,266,1693,190,1693,190,1600,184,93,48,0,11,1372,208
1400000US21009950600,21009950600,"Census Tract 9506, Barren County, Kentucky",4746,342,2554,317,2554,317,2201,341,353,175,0,16,2192,305
1400000US21009950700,21009950700,"Census Tract 9507, Barren County, Kentucky",4813,280,3398,244,3385,243,3069,246,316,148,13,21,1415,239
1400000US21009950800,21009950800,"Census Tract 9508, Barren County, Kentucky",2784,281,1705,163,1705,163,1556,160,149,76,0,11,1079,219
1400000US21009950900,21009950900,"Census Tract 9509, Barren County, Kentucky",2981,239,1776,201,1776,201,1705,195,71,46,0,11,1205,169
1400000US21009951000,21009951000,"Census Tract 9510, Barren County, Kentucky",2746,241,1867,188,1867,188,1725,197,142,75,0,11,879,148
1400000US21011970100,21011970100,"Census Tract 9701, Bath County, Kentucky",1592,182,751,127,751,127,633,118,118,61,0,11,841,128
1400000US21011970200,21011970200,"Census Tract 9702, Bath County, Kentucky",4678,344,2594,325,2591,325,2315,277,276,158,3,5,2084,236
1400000US21011970300,21011970300,"Census Tract 9703, Bath County, Kentucky",2962,290,1363,237,1363,237,1097,237,266,93,0,11,1599,216
1400000US21013960100,21013960100,"Census Tract 9601, Bell County, Kentucky",1817,318,577,165,577,165,539,163,38,26,0,11,1240,265
1400000US21013960200,21013960200,"Census Tract 9602, Bell County, Kentucky",3992,397,1624,310,1624,310,1435,297,189,88,0,11,2368,288
1400000US21013960300,21013960300,"Census Tract 9603, Bell County, Kentucky",1836,285,890,220,890,220,820,210,70,51,0,11,946,201
1400000US21013960400,21013960400,"Census Tract 9604, Bell County, Kentucky",1453,197,532,120,532,120,487,119,45,37,0,11,921,163
1400000US21013960500,21013960500,"Census Tract 9605, Bell County, Kentucky",1927,251,794,162,794,162,741,152,53,36,0,11,1133,213
1400000US21013960600,21013960600,"Census Tract 9606, Bell County, Kentucky",3487,315,1315,238,1315,238,1026,198,289,126,0,11,2172,273
1400000US21013960700,21013960700,"Census Tract 9607, Bell County, Kentucky",2332,265,933,207,919,212,856,199,63,48,14,24,1399,205
1400000US21013960800,21013960800,"Census Tract 9608, Bell County, Kentucky",3133,325,1378,233,1378,233,1276,221,102,63,0,11,1755,216
1400000US21013961100,21013961100,"Census Tract 9611, Bell County, Kentucky",2643,281,1042,224,1042,224,838,181,204,109,0,11,1601,236
1400000US21015070100,21015070100,"Census Tract 701, Boone County, Kentucky",5267,370,3240,394,3240,394,2945,375,295,127,0,16,2027,350
1400000US21015070200,21015070200,"Census Tract 702, Boone County, Kentucky",5138,444,3818,440,3818,440,3481,426,337,164,0,16,1320,214
1400000US21015070301,21015070301,"Census Tract 703.01, Boone County, Kentucky",3910,422,2773,354,2773,354,2563,375,210,136,0,16,1137,264
1400000US21015070305,21015070305,"Census Tract 703.05, Boone County, Kentucky",4861,350,3600,301,3600,301,3446,293,154,86,0,16,1261,231
1400000US21015070307,21015070307,"Census Tract 703.07, Boone County, Kentucky",8668,508,6555,525,6512,529,6218,545,294,137,43,75,2113,269
1400000US21015070308,21015070308,"Census Tract 703.08, Boone County, Kentucky",8057,478,5759,511,5759,511,5468,475,291,183,0,18,2298,443
1400000US21015070309,21015070309,"Census Tract 703.09, Boone County, Kentucky",4726,295,3498,277,3490,280,3339,273,151,70,8,12,1228,216
1400000US21015070311,21015070311,"Census Tract 703.11, Boone County, Kentucky",2133,197,1306,141,1306,141,1198,151,108,64,0,11,827,153
1400000US21015070312,21015070312,"Census Tract 703.12, Boone County, Kentucky",2473,237,1625,211,1625,211,1523,218,102,66,0,11,848,138
1400000US21015070313,21015070313,"Census Tract 703.13, Boone County, Kentucky",2464,237,1703,221,1703,221,1652,214,51,40,0,11,761,206
1400000US21015070314,21015070314,"Census Tract 703.14, Boone County, Kentucky",3466,300,2554,314,2554,314,2421,299,133,85,0,11,912,123
1400000US21015070401,21015070401,"Census Tract 704.01, Boone County, Kentucky",6989,399,5267,359,5223,380,4997,380,226,112,44,70,1722,267
1400000US21015070402,21015070402,"Census Tract 704.02, Boone County, Kentucky",6118,369,4762,429,4762,429,4424,409,338,199,0,16,1356,236
1400000US21015070502,21015070502,"Census Tract 705.02, Boone County, Kentucky",3840,447,2464,347,2464,347,2202,318,262,107,0,11,1376,268
1400000US21015070503,21015070503,"Census Tract 705.03, Boone County, Kentucky",5088,403,3595,424,3595,424,3430,405,165,115,0,16,1493,291
1400000US21015070504,21015070504,"Census Tract 705.04, Boone County, Kentucky",5470,349,3699,326,3699,326,3576,319,123,85,0,16,1771,334
1400000US21015070601,21015070601,"Census Tract 706.01, Boone County, Kentucky",2244,179,1605,150,1605,150,1550,140,55,30,0,11,639,109
1400000US21015070604,21015070604,"Census Tract 706.04, Boone County, Kentucky",2187,199,1417,198,1417,198,1324,186,93,62,0,11,770,174
1400000US21015070605,21015070605,"Census Tract 706.05, Boone County, Kentucky",4419,314,2885,296,2885,296,2748,266,137,119,0,16,1534,203
1400000US21015070606,21015070606,"Census Tract 706.06, Boone County, Kentucky",2910,161,2063,211,2063,211,1909,206,154,68,0,11,847,155
1400000US21015070607,21015070607,"Census Tract 706.07, Boone County, Kentucky",3159,244,2253,219,2253,219,2210,222,43,39,0,11,906,181
1400000US21015980100,21015980100,"Census Tract 9801, Boone County, Kentucky",0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21017030100,21017030100,"Census Tract 301, Bourbon County, Kentucky",3207,244,1787,207,1787,207,1631,202,156,65,0,11,1420,198
