GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Total; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),Male; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Male; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),Female; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Female; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),"Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)",Total; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; Population 16 years and over with earnings - MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",87985,3140,48113,1439,39872,2567,26256,971,31746,1181,18497,3090,51289,2589,32836,2012,18453,1886,1.5,0.7,1.1,0.6,2.2,1.6,4.8,1.5,3.4,2.0,7.3,2.9,18.7,3.4,15.4,4.0,24.7,5.4,26.2,3.3,25.2,4.4,27.9,6.2,17.9,3.1,17.7,3.5,18.3,5.6,12.9,2.3,13.8,3.0,11.2,3.9,5.3,1.7,6.4,2.1,3.2,2.1,5.8,1.8,7.5,2.5,2.7,1.6,7.0,1.7,9.6,2.3,2.4,1.3,(X),(X),38877,3191,29496,3085,47540,3218,54237,4620,35623,2731,30377,1261,36718,2758,22819,2738,22610,7568,27016,4753,11755,5978,26576,1723,31005,2428,19341,3926,27216,2918,36982,5950,20770,4399,41613,4771,52495,13373,31515,6160,46819,5028,67710,10062,38517,6979,15.9,(X),(X),(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",56394,1673,29694,1063,26700,1369,24136,2788,31588,1988,16803,1335,32212,1946,19371,1476,12841,1371,2.1,1.1,1.8,1.2,2.7,1.9,6.7,2.4,5.5,2.5,8.4,4.5,19.8,4.2,12.5,4.7,30.9,6.7,22.5,3.3,19.9,4.7,26.4,6.0,21.3,2.9,22.6,4.3,19.5,5.5,17.2,3.2,23.5,4.7,7.8,3.3,2.9,1.2,3.8,2.0,1.5,1.0,2.8,1.1,3.5,1.6,1.9,1.9,4.6,1.9,7.0,3.0,1.0,1.2,(X),(X),40913,3691,27248,2170,43072,3749,48356,4508,35103,7619,29221,2363,37144,3806,21461,2144,16948,3126,25673,6367,9842,5513,25623,3220,31880,2908,18351,3442,31069,3143,40785,3168,22058,4337,40502,9136,52168,5852,26364,5253,41939,3229,49508,20904,36917,5380,12.2,(X),(X),(X),(X),(X)
0500000US01043,01043,"Cullman County, Alabama",41210,1947,22526,1255,18684,1251,20805,1244,24981,2243,17010,1860,24512,1879,14694,1328,9818,1337,3.7,1.7,3.7,2.3,3.8,3.0,9.9,4.4,3.6,2.4,19.3,9.6,26.9,5.1,23.3,5.6,32.4,8.0,22.2,4.2,23.1,5.1,20.9,6.8,18.5,4.4,19.2,5.9,17.5,7.4,8.2,2.4,11.7,3.9,2.8,1.9,3.0,1.6,3.6,2.3,2.0,1.7,2.5,1.3,3.8,1.9,0.5,0.8,5.2,2.0,8.1,3.2,0.8,0.9,(X),(X),32183,3583,21956,3553,37225,3383,44835,4809,25835,2341,24101,2308,28930,3305,19930,2299,19172,2951,28060,4181,11712,4988,21538,2381,30073,6477,16112,3178,25303,3182,26156,5152,22419,6308,35567,5166,52398,20955,26860,11665,37681,6288,29140,21090,40455,3916,12.6,(X),(X),(X),(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",33116,1744,17534,838,15582,1379,18430,1631,21649,2063,14945,1474,18931,1625,11286,905,7645,1251,3.9,2.2,4.7,2.7,2.9,3.4,11.7,6.2,4.6,4.5,22.1,9.6,30.9,6.1,30.3,6.3,31.8,9.5,22.8,5.3,26.2,7.4,17.8,6.1,14.9,4.7,14.1,5.0,16.1,7.0,9.5,4.4,10.8,4.6,7.6,5.9,2.2,1.3,3.3,2.1,0.6,0.8,2.6,2.2,3.7,3.3,0.9,1.5,1.4,1.2,2.2,2.0,0.2,0.3,(X),(X),27002,2287,22024,3242,31914,3703,35911,5368,26013,2867,20890,1366,25506,1686,15993,1556,15232,2602,17605,2182,9645,5069,16855,3278,25179,4098,12885,1883,27010,4047,35503,4052,21642,1797,35334,8525,44048,27213,34639,8129,38156,7572,33784,5385,42055,3981,17.9,(X),(X),(X),(X),(X)
0500000US01051,01051,"Elmore County, Alabama",38109,1468,20693,935,17416,1061,26108,1922,35026,5239,20750,1618,23723,1681,14153,1125,9570,1214,1.3,1.0,1.3,1.3,1.4,1.5,6.8,2.6,4.0,2.7,11.1,5.3,20.3,4.2,12.1,4.1,32.3,6.7,18.4,4.8,17.0,5.9,20.4,7.5,24.4,5.3,26.2,6.9,21.8,6.9,13.8,3.4,17.3,5.2,8.6,4.1,5.6,2.2,7.4,3.2,2.9,2.3,5.5,1.8,8.6,3.0,1.0,1.0,3.8,2.0,6.0,3.2,0.5,0.7,(X),(X),41759,2452,27345,3295,42087,3177,49651,4749,30901,2220,29890,2550,40100,4659,23154,2000,16712,11327,26589,9311,10053,8856,25417,2927,32327,7509,22067,2809,30736,4657,40334,6172,24469,5180,42548,11564,59543,15520,30439,13653,50258,5508,52337,11440,42156,5634,7.2,(X),(X),(X),(X),(X)
0500000US01055,01055,"Etowah County, Alabama",49139,2361,26616,1383,22523,1723,22405,1855,26510,1284,19032,1996,29654,2260,17771,1398,11883,1474,3.5,1.7,1.6,1.4,6.2,3.6,9.1,2.9,8.8,3.0,9.5,4.2,22.2,3.6,17.6,4.6,29.2,6.5,22.9,4.5,20.9,5.6,25.8,6.8,18.6,3.5,18.7,4.7,18.6,6.1,15.2,3.0,20.4,4.7,7.4,3.7,4.1,1.9,4.8,2.5,3.1,3.0,2.5,1.2,4.1,2.0,0.1,0.2,1.9,1.1,3.0,1.7,0.3,0.3,(X),(X),35678,5599,26036,1494,36250,1803,41039,2530,29088,2251,26521,1068,31012,1555,22075,2059,19027,5553,24319,5145,8440,2128,20515,1872,25423,3543,18540,2658,27124,2017,33914,4597,22640,4847,37679,8956,52636,5519,31466,3247,45303,6465,54877,11598,40476,7016,14.2,(X),(X),(X),(X),(X)
0500000US01069,01069,"Houston County, Alabama",48235,1040,24649,752,23586,811,22280,846,30267,2094,18381,1160,30139,1446,17215,894,12924,855,3.1,1.0,3.3,1.3,2.8,1.2,9.3,1.8,6.3,1.9,13.4,3.2,27.0,2.7,19.7,2.7,36.8,4.7,19.3,1.9,18.0,3.1,21.1,3.3,17.8,2.2,21.1,2.7,13.4,3.3,8.8,1.6,11.5,2.4,5.2,1.6,3.8,1.1,5.5,1.8,1.5,0.9,5.0,1.4,5.7,2.0,4.1,1.6,5.8,1.3,8.9,2.2,1.7,1.1,(X),(X),36571,2202,23653,1883,41160,1924,49381,3325,30209,1577,26235,1073,34354,2809,20805,663,15290,1719,20304,4421,11954,1328,21800,1253,27012,3362,18274,2334,26998,1762,37052,3081,21180,995,43035,4399,53005,6750,33420,3405,53895,16285,74255,8485,44276,4345,15.1,(X),(X),(X),(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",344594,4110,176313,2798,168281,2848,27026,794,31286,691,22687,1083,205050,4837,113935,3601,91115,3704,2.3,0.5,1.7,0.6,3.0,0.8,5.4,0.9,4.3,1.1,6.8,1.4,18.0,1.4,14.3,1.8,22.5,2.2,20.7,1.4,19.4,1.9,22.3,2.0,22.8,1.5,21.0,2.0,25.0,1.9,12.2,1.1,14.0,1.6,9.9,1.5,4.8,0.7,5.8,1.0,3.6,1.0,6.2,0.9,7.8,1.2,4.1,1.0,7.7,0.9,11.5,1.3,2.8,0.8,(X),(X),41530,828,32050,1048,50567,2328,60019,3878,38747,1706,31404,593,36965,1326,26869,1145,16777,2195,21296,1887,12333,2194,24424,2106,30472,1949,20281,1729,29989,1160,35590,3593,25445,1347,40921,1062,50520,3109,34140,1965,57226,5702,75010,8382,45988,1393,12.7,(X),(X),(X),(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",44478,1736,22819,1268,21659,1319,22261,2707,31593,2121,17291,1871,23157,1755,13830,1266,9327,1218,2.7,2.0,1.8,2.0,4.1,3.7,5.5,2.3,3.9,2.2,7.8,4.7,22.0,5.7,17.1,6.0,29.2,8.5,23.3,4.9,19.8,5.0,28.5,9.3,16.1,3.8,17.8,5.0,13.5,5.7,14.2,3.6,18.0,4.4,8.5,6.3,4.7,1.6,6.3,2.3,2.3,2.1,7.1,2.3,8.8,3.1,4.8,3.1,4.4,1.9,6.4,3.1,1.4,1.8,(X),(X),40636,3670,27020,4190,41865,3653,48007,5107,32758,3613,30062,3426,36812,3067,21772,2284,18294,6123,19088,7685,17007,11122,29104,5525,39520,4704,16992,1996,25656,3813,36813,5093,21340,2315,34674,9046,41668,8452,31578,3724,43140,12424,53559,43952,40254,9115,11.0,(X),(X),(X),(X),(X)
