Per Capita Personal Income by County (Dollars),,,,,,,,,,,,,,,,,,,,,,,
Series ID,Region Name,Region Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PCPI45001,"Abbeville County, SC",45001,17003,17967,19458,20547,21881,23275,23345,21249,19780,21227,22137,23141,23763,25292,25598,26343,27500,27424,27959,29190,30468
PCPI22001,"Acadia Parish, LA",22001,15515,16024,17342,18481,18265,19491,21158,21605,21930,22548,24953,26003,27170,31415,30909,30983,32402,33692,35240,35969,35335
PCPI51001,"Accomack County, VA",51001,17076,17254,17512,18463,19050,19801,21301,22265,24061,25598,26960,27868,30039,32280,32764,33710,33943,35689,36031,37229,38683
PCPI16001,"Ada County, ID",16001,26956,27455,28091,29668,31516,34555,33609,34020,34661,36995,37661,40567,40649,40085,38148,37998,39278,40749,42247,44320,46053
PCPI29001,"Adair County, MO",29001,16727,17377,18214,18534,19174,20360,21222,21112,21399,22536,23428,24346,25388,26775,28015,27002,28228,28319,28864,29604,30188
PCPI21001,"Adair County, KY",21001,14679,15643,16152,16036,16211,17911,18403,18150,17993,19037,19884,20499,21527,22834,23069,24000,24757,25203,25056,26027,26876
PCPI40001,"Adair County, OK",40001,13774,13999,14442,14625,14993,15486,17159,17757,17556,18133,19079,19603,20597,21371,21655,22968,24117,24701,25034,25977,27161
PCPI19001,"Adair County, IA",19001,17553,21031,21415,22391,23115,25951,26637,27756,27743,31598,29160,29986,32054,38034,35738,35137,40414,40917,44188,44608,46184
PCPI53001,"Adams County, WA",53001,19034,20760,20311,21308,20620,21523,21639,22481,23782,24684,24780,26265,29078,31742,30356,31596,35050,37888,37986,38180,41962
PCPI39001,"Adams County, OH",39001,14474,15305,16602,18112,18812,20392,21063,20266,20850,22379,22316,23304,24979,25001,25373,25200,27127,26756,27283,28427,29507
PCPI08001,"Adams County, CO",08001,20028,20771,22188,23687,25158,27040,27555,28319,28383,28795,29130,29544,30636,31887,30559,30299,32105,33558,33850,35704,36962
PCPI38001,"Adams County, ND",38001,17004,19931,17743,20166,21762,25032,25964,22876,30665,29537,32829,32896,37614,34859,39164,41783,45454,56846,43552,46591,46205
PCPI31001,"Adams County, NE",31001,21463,22666,22471,23928,24771,25709,27185,27924,29512,29495,30833,31963,35252,36327,35740,36074,40015,42187,40936,42581,44381
PCPI42001,"Adams County, PA",42001,20330,21324,22458,23353,24586,26262,27966,28704,29964,30924,32190,33526,35723,36887,37097,37618,38995,40336,41226,43361,45023
PCPI19003,"Adams County, IA",19003,17032,21799,21885,22717,23384,27024,26428,27810,26368,31615,28805,27212,30511,36165,36277,36643,46444,45723,53866,53461,59850
PCPI55001,"Adams County, WI",55001,16756,17955,19299,20386,21547,21581,22510,23373,23760,24229,24716,25913,26907,28459,29136,29269,30867,32273,32649,33593,35222
PCPI18001,"Adams County, IN",18001,18532,19334,20845,21777,22496,24011,25129,25271,26389,28239,27230,27898,28338,28134,27041,27846,30854,33219,33384,34795,34885
PCPI16003,"Adams County, ID",16003,15841,16386,18173,19766,20600,22114,21619,22706,23320,26349,26672,28277,27773,28766,27487,27994,29419,31243,32761,34596,36800
PCPI28001,"Adams County, MS",28001,17186,18205,18721,19762,20564,21488,22004,23074,22136,22756,24351,26464,27332,29801,28074,28803,30828,32279,33121,34094,34860
PCPI17001,"Adams County, IL",17001,20476,21651,22474,23482,23788,25333,26390,27167,28515,30032,29936,31226,33032,35180,35081,36567,38033,39487,40097,40982,41369
PCPI50001,"Addison County, VT",50001,19239,20524,21356,23309,24909,26712,28524,29188,30836,32024,32096,34350,36380,38031,37532,38880,41605,44247,43946,44596,44311
PCPI45003,"Aiken County, SC",45003,20412,21012,22001,23298,23825,25164,25546,26323,26863,27449,28431,29472,31251,32586,32676,33313,34809,35313,35098,36129,37389
