GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US21001970100,21001970100,"Census Tract 9701, Adair County, Kentucky",1427,183,1376,174,0,11,9,14,0,11,0,11,7,14,35,41,0,11,35,41
1400000US21001970200,21001970200,"Census Tract 9702, Adair County, Kentucky",1589,191,1501,187,67,66,0,11,0,11,0,11,2,4,19,20,8,11,11,16
1400000US21001970300,21001970300,"Census Tract 9703, Adair County, Kentucky",3108,322,3052,318,0,11,0,11,0,11,0,11,0,11,56,38,0,11,56,38
1400000US21001970401,21001970401,"Census Tract 9704.01, Adair County, Kentucky",4438,351,4139,319,227,170,0,11,0,11,0,11,63,89,9,18,0,11,9,18
1400000US21001970402,21001970402,"Census Tract 9704.02, Adair County, Kentucky",4735,290,4395,278,208,83,0,11,40,46,0,11,5,11,87,78,7,14,80,77
1400000US21001970500,21001970500,"Census Tract 9705, Adair County, Kentucky",2206,247,2121,233,13,22,15,25,24,38,0,11,0,11,33,49,0,11,33,49
1400000US21001970600,21001970600,"Census Tract 9706, Adair County, Kentucky",1349,204,1336,204,13,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21003920100,21003920100,"Census Tract 9201, Allen County, Kentucky",3313,306,3141,304,80,104,0,11,58,78,0,11,0,11,34,40,0,11,34,40
1400000US21003920200,21003920200,"Census Tract 9202, Allen County, Kentucky",2866,274,2850,271,0,11,5,10,0,11,0,11,11,21,0,11,0,11,0,11
1400000US21003920300,21003920300,"Census Tract 9203, Allen County, Kentucky",4504,374,4454,371,50,114,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21003920400,21003920400,"Census Tract 9204, Allen County, Kentucky",4699,370,4535,380,112,90,0,11,0,11,0,11,0,11,52,59,0,11,52,59
1400000US21003920500,21003920500,"Census Tract 9205, Allen County, Kentucky",1567,252,1362,235,34,58,0,11,35,59,0,11,102,107,34,42,0,11,34,42
1400000US21003920600,21003920600,"Census Tract 9206, Allen County, Kentucky",3406,371,3304,377,0,11,0,11,0,11,0,11,56,87,46,55,0,11,46,55
1400000US21005950100,21005950100,"Census Tract 9501, Anderson County, Kentucky",8231,405,7814,411,406,124,0,16,11,19,0,16,0,16,0,16,0,16,0,16
1400000US21005950201,21005950201,"Census Tract 9502.01, Anderson County, Kentucky",5304,360,5077,373,51,52,0,16,95,65,0,16,23,41,58,70,29,48,29,48
1400000US21005950202,21005950202,"Census Tract 9502.02, Anderson County, Kentucky",3633,314,3483,297,0,11,0,11,0,11,0,11,0,11,150,111,0,11,150,111
1400000US21005950300,21005950300,"Census Tract 9503, Anderson County, Kentucky",2140,180,2050,185,7,9,0,11,18,27,0,11,26,39,39,41,0,11,39,41
1400000US21005950400,21005950400,"Census Tract 9504, Anderson County, Kentucky",2453,260,2383,258,43,48,3,5,0,11,0,11,14,26,10,13,0,11,10,13
1400000US21007950100,21007950100,"Census Tract 9501, Ballard County, Kentucky",4425,211,4197,217,169,63,15,15,31,39,0,11,0,11,13,19,0,11,13,19
1400000US21007950200,21007950200,"Census Tract 9502, Ballard County, Kentucky",1507,157,1457,156,20,18,16,15,2,4,0,11,0,11,12,15,4,7,8,11
1400000US21007950300,21007950300,"Census Tract 9503, Ballard County, Kentucky",2324,181,2137,178,90,65,19,22,16,18,0,11,4,5,58,34,10,15,48,27
1400000US21009950100,21009950100,"Census Tract 9501, Barren County, Kentucky",3411,244,3337,247,46,46,0,11,28,41,0,11,0,11,0,11,0,11,0,11
1400000US21009950200,21009950200,"Census Tract 9502, Barren County, Kentucky",3794,377,3384,345,253,172,24,37,55,47,3,5,42,52,33,36,0,11,33,36
1400000US21009950300,21009950300,"Census Tract 9503, Barren County, Kentucky",3097,341,2694,402,302,206,5,7,0,11,0,11,0,11,96,58,0,11,96,58
1400000US21009950400,21009950400,"Census Tract 9504, Barren County, Kentucky",5926,490,5115,517,551,143,81,72,0,16,0,16,23,38,156,108,10,17,146,105
1400000US21009950500,21009950500,"Census Tract 9505, Barren County, Kentucky",3657,303,3369,305,198,115,0,11,65,66,0,11,0,11,25,31,0,11,25,31
1400000US21009950600,21009950600,"Census Tract 9506, Barren County, Kentucky",5982,507,5331,562,418,217,0,16,16,26,0,16,79,91,138,105,34,48,104,91
1400000US21009950700,21009950700,"Census Tract 9507, Barren County, Kentucky",6290,460,6215,458,4,6,15,25,43,60,0,16,0,16,13,18,0,16,13,18
1400000US21009950800,21009950800,"Census Tract 9508, Barren County, Kentucky",3600,525,3574,529,0,11,0,11,0,11,0,11,0,11,26,29,0,11,26,29
1400000US21009950900,21009950900,"Census Tract 9509, Barren County, Kentucky",3615,331,3516,330,0,11,0,11,10,16,0,11,34,52,55,44,0,11,55,44
1400000US21009951000,21009951000,"Census Tract 9510, Barren County, Kentucky",3553,365,3441,336,35,40,0,11,12,18,0,11,22,34,43,46,0,11,43,46
1400000US21011970100,21011970100,"Census Tract 9701, Bath County, Kentucky",1990,240,1809,234,112,59,0,11,0,11,0,11,0,11,69,59,0,11,69,59
1400000US21011970200,21011970200,"Census Tract 9702, Bath County, Kentucky",6240,388,5995,393,84,67,11,19,2,3,0,16,96,62,52,37,0,16,52,37
1400000US21011970300,21011970300,"Census Tract 9703, Bath County, Kentucky",3748,374,3707,374,0,11,0,11,0,11,0,11,25,41,16,22,0,11,16,22
1400000US21013960100,21013960100,"Census Tract 9601, Bell County, Kentucky",2358,401,2304,404,0,11,0,11,0,11,0,11,0,11,54,57,0,11,54,57
1400000US21013960200,21013960200,"Census Tract 9602, Bell County, Kentucky",4872,563,4809,563,11,12,7,12,0,11,0,11,0,11,45,35,0,11,45,35
1400000US21013960300,21013960300,"Census Tract 9603, Bell County, Kentucky",2218,360,2213,359,5,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11
