city,county,state,FIPS,Year,food_insecure_overall,food_insecure_child
Birmingham,Jefferson,AL,1073,2013,18.4,21.8
Birmingham,Jefferson,AL,1073,2014,19.7,23.2
Birmingham,Jefferson,AL,1073,2015,19.4,22.3
Jacksonville,Duval,FL,12031,2013,19.4,24.6
Jacksonville,Duval,FL,12031,2014,20.1,25
Jacksonville,Duval,FL,12031,2015,20,23.2
Indianapolis,Marion,IN,18097,2013,18.7,22.6
Indianapolis,Marion,IN,18097,2014,19.4,22.2
Indianapolis,Marion,IN,18097,2015,18.6,20.3
Louisville,Jefferson,KY,21111,2013,17.2,19.6
Louisville,Jefferson,KY,21111,2014,17.2,18.6
Louisville,Jefferson,KY,21111,2015,16.1,17
Grand Rapids,Kent,MI,26081,2013,13.3,18.2
Grand Rapids,Kent,MI,26081,2014,12.6,16.1
Grand Rapids,Kent,MI,26081,2015,11.8,14.4
Kansas City,Jackson,MO,29095,2013,18.4,21.1
Kansas City,Jackson,MO,29095,2014,19,20.7
Kansas City,Jackson,MO,29095,2015,17.9,19.5
St. Louis,St. Louis County,MO,29189,2013,16.1,17.3
St. Louis,St. Louis County,MO,29189,2014,16.4,16.9
St. Louis,St. Louis County,MO,29189,2015,15.4,15.5
St. Louis,St. Louis City,MO,29510,2013,25.8,24.6
St. Louis,St. Louis City,MO,29510,2014,26.8,24.9
St. Louis,St. Louis City,MO,29510,2015,25.7,22.8
Omaha,Douglas,NE,31055,2013,14.1,20.3
Omaha,Douglas,NE,31055,2014,14.2,19.6
Omaha,Douglas,NE,31055,2015,13.8,18.5
Greensboro,Guilford,NC,37081,2013,19.2,24
Greensboro,Guilford,NC,37081,2014,19,23
Greensboro,Guilford,NC,37081,2015,18.5,21.7
Charlotte,Mecklenberg,NC,37119,2013,17.5,22.2
Charlotte,Mecklenberg,NC,37119,2014,17.1,20.5
Charlotte,Mecklenberg,NC,37119,2015,16.4,19.5
Raleigh,Wake,NC,37183,2013,14.4,19.6
Raleigh,Wake,NC,37183,2014,13.8,18.4
Raleigh,Wake,NC,37183,2015,13.5,18
Columbus,Franklin,OH,39049,2013,17.9,22.9
Columbus,Franklin,OH,39049,2014,17.9,21.8
Columbus,Franklin,OH,39049,2015,17.4,20.4
Cincinnati,Hamilton,OH,39061,2013,18.6,23.4
Cincinnati,Hamilton,OH,39061,2014,18.6,22.6
Cincinnati,Hamilton,OH,39061,2015,18.3,21.1
Dayton,Montgomery,OH,39113,2013,18.5,25.1
Dayton,Montgomery,OH,39113,2014,18.4,24.5
Dayton,Montgomery,OH,39113,2015,18,22.9
Oklahoma City,Oklahoma,OK,40109,2013,17.3,24.6
Oklahoma City,Oklahoma,OK,40109,2014,17.1,22.6
Oklahoma City,Oklahoma,OK,40109,2015,16.3,21.4
Tulsa,Tulsa,OK,40143,2013,16.9,24.4
Tulsa,Tulsa,OK,40143,2014,16.5,22.7
Tulsa,Tulsa,OK,40143,2015,15.9,21.5
Greenville,Greenville,SC,45045,2013,13.5,22.3
Greenville,Greenville,SC,45045,2014,12.9,20.5
Greenville,Greenville,SC,45045,2015,12.2,19.1
Nashville,Davidson,TN,47037,2013,17.4,23.2
Nashville,Davidson,TN,47037,2014,17.3,21.6
Nashville,Davidson,TN,47037,2015,16.4,20
Knoxville,Knox,TN,47093,2013,14.9,22
Knoxville,Knox,TN,47093,2014,14.4,20.7
Knoxville,Knox,TN,47093,2015,14,19.4
Memphis,Shelby,TN,47157,2013,21.6,23.7
Memphis,Shelby,TN,47157,2014,22.4,22.9
Memphis,Shelby,TN,47157,2015,21.6,21.3
Richmond,Richmond City,VA,51760,2013,20.5,21.3
Richmond,Richmond City,VA,51760,2014,21.6,21.8
Richmond,Richmond City,VA,51760,2015,21.3,20.1
