MSA,msa_title,county,state,FIPS,year,baseline,current,msa_changed
13820,"Birmingham-Hoover, AL",Bibb County,Alabama,1007,2003,1,1,0
13820,"Birmingham-Hoover, AL",Blount County,Alabama,1009,2003,1,1,0
13820,"Birmingham-Hoover, AL",Chilton County,Alabama,1021,2003,1,1,0
13820,"Birmingham-Hoover, AL",Jefferson County,Alabama,1073,2003,1,1,0
13820,"Birmingham-Hoover, AL",St. Clair County,Alabama,1115,2003,1,1,0
13820,"Birmingham-Hoover, AL",Shelby County,Alabama,1117,2003,1,1,0
13820,"Birmingham-Hoover, AL",Walker County,Alabama,1127,2003,1,1,0
16740,"Charlotte-Gastonia-Concord, NC-SC",Anson County,North Carolina,37007,2003,1,1,1
16740,"Charlotte-Gastonia-Concord, NC-SC",Cabarrus County,North Carolina,37025,2003,1,1,1
16740,"Charlotte-Gastonia-Concord, NC-SC",Gaston County,North Carolina,37071,2003,1,1,1
16740,"Charlotte-Gastonia-Concord, NC-SC",Mecklenburg County,North Carolina,37119,2003,1,1,1
16740,"Charlotte-Gastonia-Concord, NC-SC",Union County,North Carolina,37179,2003,1,1,1
16740,"Charlotte-Gastonia-Concord, NC-SC",York County,South Carolina,45091,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Dearborn County,Indiana,18029,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Franklin County,Indiana,18047,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Ohio County,Indiana,18115,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Boone County,Kentucky,21015,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Bracken County,Kentucky,21023,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Campbell County,Kentucky,21037,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Gallatin County,Kentucky,21077,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Grant County,Kentucky,21081,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Kenton County,Kentucky,21117,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Pendleton County,Kentucky,21191,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Brown County,Ohio,39015,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Butler County,Ohio,39017,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Clermont County,Ohio,39025,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Hamilton County,Ohio,39061,2003,1,1,1
17140,"Cincinnati-Middletown, OH-KY-IN",Warren County,Ohio,39165,2003,1,1,1
18140,"Columbus, OH",Delaware County,Ohio,39041,2003,1,1,1
18140,"Columbus, OH",Fairfield County,Ohio,39045,2003,1,1,1
18140,"Columbus, OH",Franklin County,Ohio,39049,2003,1,1,1
18140,"Columbus, OH",Licking County,Ohio,39089,2003,1,1,1
18140,"Columbus, OH",Madison County,Ohio,39097,2003,1,1,1
18140,"Columbus, OH",Morrow County,Ohio,39117,2003,1,1,1
18140,"Columbus, OH",Pickaway County,Ohio,39129,2003,1,1,1
18140,"Columbus, OH",Union County,Ohio,39159,2003,1,1,1
19380,"Dayton, OH",Greene County,Ohio,39057,2003,1,0,1
19380,"Dayton, OH",Miami County,Ohio,39109,2003,1,0,1
19380,"Dayton, OH",Montgomery County,Ohio,39113,2003,1,0,1
19380,"Dayton, OH",Preble County,Ohio,39135,2003,1,0,1
24340,"Grand Rapids-Wyoming, MI",Barry County,Michigan,26015,2003,0,1,1
24340,"Grand Rapids-Wyoming, MI",Ionia County,Michigan,26067,2003,0,1,1
24340,"Grand Rapids-Wyoming, MI",Kent County,Michigan,26081,2003,0,1,1
24340,"Grand Rapids-Wyoming, MI",Newaygo County,Michigan,26123,2003,0,1,1
24660,"Greensboro-High Point, NC",Guilford County,North Carolina,37081,2003,1,1,0
24660,"Greensboro-High Point, NC",Randolph County,North Carolina,37151,2003,1,1,0
24660,"Greensboro-High Point, NC",Rockingham County,North Carolina,37157,2003,1,1,0
24860,"Greenville, SC",Greenville County,South Carolina,45045,2003,0,1,1
24860,"Greenville, SC",Laurens County,South Carolina,45059,2003,0,1,1
24860,"Greenville, SC",Pickens County,South Carolina,45077,2003,0,1,1
26900,"Indianapolis, IN",Boone County,Indiana,18011,2003,1,1,1
26900,"Indianapolis, IN",Brown County,Indiana,18013,2003,1,1,1
26900,"Indianapolis, IN",Hamilton County,Indiana,18057,2003,1,1,1
26900,"Indianapolis, IN",Hancock County,Indiana,18059,2003,1,1,1
26900,"Indianapolis, IN",Hendricks County,Indiana,18063,2003,1,1,1
26900,"Indianapolis, IN",Johnson County,Indiana,18081,2003,1,1,1
26900,"Indianapolis, IN",Marion County,Indiana,18097,2003,1,1,1
26900,"Indianapolis, IN",Morgan County,Indiana,18109,2003,1,1,1
26900,"Indianapolis, IN",Putnam County,Indiana,18133,2003,1,1,1
26900,"Indianapolis, IN",Shelby County,Indiana,18145,2003,1,1,1
27260,"Jacksonville, FL",Baker County,Florida,12003,2003,1,0,0
27260,"Jacksonville, FL",Clay County,Florida,12019,2003,1,0,0
27260,"Jacksonville, FL",Duval County,Florida,12031,2003,1,0,0
27260,"Jacksonville, FL",Nassau County,Florida,12089,2003,1,0,0
27260,"Jacksonville, FL",St. Johns County,Florida,12109,2003,1,0,0
28140,"Kansas City, MO-KS",Franklin County,Kansas,20059,2003,1,1,1
28140,"Kansas City, MO-KS",Johnson County,Kansas,20091,2003,1,1,1
28140,"Kansas City, MO-KS",Leavenworth County,Kansas,20103,2003,1,1,1
28140,"Kansas City, MO-KS",Linn County,Kansas,20107,2003,1,1,1
28140,"Kansas City, MO-KS",Miami County,Kansas,20121,2003,1,1,1
28140,"Kansas City, MO-KS",Wyandotte County,Kansas,20209,2003,1,1,1
28140,"Kansas City, MO-KS",Bates County,Missouri,29013,2003,1,1,1
28140,"Kansas City, MO-KS",Caldwell County,Missouri,29025,2003,1,1,1
28140,"Kansas City, MO-KS",Cass County,Missouri,29037,2003,1,1,1
28140,"Kansas City, MO-KS",Clay County,Missouri,29047,2003,1,1,1
28140,"Kansas City, MO-KS",Clinton County,Missouri,29049,2003,1,1,1
28140,"Kansas City, MO-KS",Jackson County,Missouri,29095,2003,1,1,1
28140,"Kansas City, MO-KS",Lafayette County,Missouri,29107,2003,1,1,1
28140,"Kansas City, MO-KS",Platte County,Missouri,29165,2003,1,1,1
28140,"Kansas City, MO-KS",Ray County,Missouri,29177,2003,1,1,1
28940,"Knoxville, TN",Anderson County,Tennessee,47001,2003,0,1,1
28940,"Knoxville, TN",Blount County,Tennessee,47009,2003,0,1,1
28940,"Knoxville, TN",Knox County,Tennessee,47093,2003,0,1,1
28940,"Knoxville, TN",Loudon County,Tennessee,47105,2003,0,1,1
28940,"Knoxville, TN",Union County,Tennessee,47173,2003,0,1,1
31140,"Louisville, KY-IN",Clark County,Indiana,18019,2003,1,1,1
31140,"Louisville, KY-IN",Floyd County,Indiana,18043,2003,1,1,1
31140,"Louisville, KY-IN",Harrison County,Indiana,18061,2003,1,1,1
31140,"Louisville, KY-IN",Washington County,Indiana,18175,2003,1,1,1
31140,"Louisville, KY-IN",Bullitt County,Kentucky,21029,2003,1,1,1
31140,"Louisville, KY-IN",Henry County,Kentucky,21103,2003,1,1,1
31140,"Louisville, KY-IN",Jefferson County,Kentucky,21111,2003,1,1,1
31140,"Louisville, KY-IN",Meade County,Kentucky,21163,2003,1,1,1
31140,"Louisville, KY-IN",Nelson County,Kentucky,21179,2003,1,1,1
31140,"Louisville, KY-IN",Oldham County,Kentucky,21185,2003,1,1,1
31140,"Louisville, KY-IN",Shelby County,Kentucky,21211,2003,1,1,1
31140,"Louisville, KY-IN",Spencer County,Kentucky,21215,2003,1,1,1
31140,"Louisville, KY-IN",Trimble County,Kentucky,21223,2003,1,1,1
32820,"Memphis, TN-MS-AR",Crittenden County,Arkansas,5035,2003,1,1,1
32820,"Memphis, TN-MS-AR",DeSoto County,Mississippi,28033,2003,1,1,1
32820,"Memphis, TN-MS-AR",Marshall County,Mississippi,28093,2003,1,1,1
32820,"Memphis, TN-MS-AR",Tate County,Mississippi,28137,2003,1,1,1
32820,"Memphis, TN-MS-AR",Tunica County,Mississippi,28143,2003,1,1,1
32820,"Memphis, TN-MS-AR",Fayette County,Tennessee,47047,2003,1,1,1
32820,"Memphis, TN-MS-AR",Shelby County,Tennessee,47157,2003,1,1,1
32820,"Memphis, TN-MS-AR",Tipton County,Tennessee,47167,2003,1,1,1
34980,"Nashville-Davidson--Murfreesboro, TN",Cannon County,Tennessee,47015,2003,1,1,1
34980,"Nashville-Davidson--Murfreesboro, TN",Cheatham County,Tennessee,47021,2003,1,1,1
34980,"Nashville-Davidson--Murfreesboro, TN",Davidson County,Tennessee,47037,2003,1,1,1
