Net Migration Flow by County (Persons),,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013
NETMIGNACS045001,"Abbeville County, SC",45001,274,-267,-216,-269,-421
NETMIGNACS022001,"Acadia Parish, LA",22001,-534,316,-107,-628,-344
NETMIGNACS051001,"Accomack County, VA",51001,-815,-999,-856,-724,-610
NETMIGNACS016001,"Ada County, ID",16001,7503,6417,2099,2269,243
NETMIGNACS021001,"Adair County, KY",21001,401,351,-46,-163,-174
NETMIGNACS040001,"Adair County, OK",40001,-1530,-1760,-1230,-1306,-1230
NETMIGNACS019001,"Adair County, IA",19001,-215,-114,-418,-289,-187
NETMIGNACS029001,"Adair County, MO",29001,242,568,1045,432,369
NETMIGNACS028001,"Adams County, MS",28001,-111,-162,-101,-213,-346
NETMIGNACS031001,"Adams County, NE",31001,693,675,1013,1091,757
NETMIGNACS053001,"Adams County, WA",53001,-418,-210,-486,-365,-508
NETMIGNACS019003,"Adams County, IA",19003,-25,79,7,-38,-58
NETMIGNACS018001,"Adams County, IN",18001,-252,-454,-455,-579,-469
NETMIGNACS038001,"Adams County, ND",38001,-132,-138,-182,-140,-204
NETMIGNACS039001,"Adams County, OH",39001,-422,-612,-347,-466,-706
NETMIGNACS008001,"Adams County, CO",08001,9061,7728,2640,2511,2308
NETMIGNACS017001,"Adams County, IL",17001,-223,-545,-872,-695,-1167
NETMIGNACS016003,"Adams County, ID",16003,-71,47,130,43,38
NETMIGNACS042001,"Adams County, PA",42001,1751,515,-950,-926,-1422
NETMIGNACS055001,"Adams County, WI",55001,288,150,309,-23,66
NETMIGNACS050001,"Addison County, VT",50001,-40,26,-58,104,57
NETMIGNACS045003,"Aiken County, SC",45003,268,594,-536,-1210,-544
NETMIGNACS027001,"Aitkin County, MN",27001,-601,-263,-63,191,83
NETMIGNACS012001,"Alachua County, FL",12001,4509,5757,3515,3464,2807
NETMIGNACS037001,"Alamance County, NC",37001,3196,3347,1765,915,86
NETMIGNACS006001,"Alameda County, CA",06001,8162,7101,-6267,-3039,-2233
NETMIGNACS008003,"Alamosa County, CO",08003,398,226,84,-93,61
NETMIGNACS036001,"Albany County, NY",36001,3784,3916,1911,366,832
NETMIGNACS056001,"Albany County, WY",56001,243,798,1024,1545,1580
NETMIGNACS051003,"Albemarle County, VA",51003,1698,158,116,922,627
NETMIGNACS026001,"Alcona County, MI",26001,-537,-638,-525,-553,-542
NETMIGNACS028003,"Alcorn County, MS",28003,15,199,238,426,723
NETMIGNACS002013,"Aleutians East Borough, AK",02013,376,769,567,357,175
NETMIGNACS002016,"Aleutians West CA, AK",02016,245,402,-403,91,-15
NETMIGNACS037003,"Alexander County, NC",37003,-511,206,-247,139,-297
NETMIGNACS017003,"Alexander County, IL",17003,-142,-236,-313,-161,-49
NETMIGNACS051510,"Alexandria city, VA",51510,3521,3185,1762,-81,-781
NETMIGNACS040003,"Alfalfa County, OK",40003,277,154,237,119,133
NETMIGNACS026003,"Alger County, MI",26003,-244,61,156,233,427
NETMIGNACS019005,"Allamakee County, IA",19005,259,181,-23,15,346
NETMIGNACS026005,"Allegan County, MI",26005,-212,-591,-831,-1315,-932
NETMIGNACS024001,"Allegany County, MD",24001,2231,1988,1461,1360,393
NETMIGNACS036003,"Allegany County, NY",36003,1546,1281,1212,650,220
NETMIGNACS051005,"Alleghany County, VA",51005,-699,-659,-590,-854,-613
NETMIGNACS037005,"Alleghany County, NC",37005,-291,-216,-138,67,-235
NETMIGNACS042003,"Allegheny County, PA",42003,2542,6579,1052,1039,-2218
NETMIGNACS018003,"Allen County, IN",18003,-2879,-4554,-4191,-4235,-5011
NETMIGNACS021003,"Allen County, KY",21003,-309,113,251,366,438
NETMIGNACS022003,"Allen Parish, LA",22003,865,473,248,233,-597
NETMIGNACS039003,"Allen County, OH",39003,296,-184,-437,145,-242
NETMIGNACS020001,"Allen County, KS",20001,-328,90,-434,-1010,-1097
NETMIGNACS045005,"Allendale County, SC",45005,610,208,53,-40,28
NETMIGNACS026007,"Alpena County, MI",26007,147,438,131,274,36
NETMIGNACS006003,"Alpine County, CA",06003,-151,-208,-459,-185,-191
NETMIGNACS006005,"Amador County, CA",06005,210,-261,-671,-664,-522
NETMIGNACS051007,"Amelia County, VA",51007,-153,-175,-430,-303,-330
NETMIGNACS051009,"Amherst County, VA",51009,486,493,-77,-273,-426
NETMIGNACS028005,"Amite County, MS",28005,-84,83,67,-130,-216
NETMIGNACS002020,"Anchorage Muny, AK",02020,-14284,-16034,-22943,-24579,-27176
NETMIGNACS047001,"Anderson County, TN",47001,557,674,189,139,-8
NETMIGNACS020003,"Anderson County, KS",20003,-320,-153,43,94,147
NETMIGNACS048001,"Anderson County, TX",48001,688,535,-630,-490,230
NETMIGNACS045007,"Anderson County, SC",45007,1833,1026,6,-1369,-1326
NETMIGNACS021005,"Anderson County, KY",21005,171,315,147,316,-365
NETMIGNACS029003,"Andrew County, MO",29003,459,541,209,-181,-249
NETMIGNACS048003,"Andrews County, TX",48003,177,69,123,370,524
NETMIGNACS023001,"Androscoggin County, ME",23001,1946,1124,-188,-308,-412
NETMIGNACS048005,"Angelina County, TX",48005,2100,1687,864,-649,-854
NETMIGNACS024003,"Anne Arundel County, MD",24003,8901,10149,3697,5451,1426
NETMIGNACS027003,"Anoka County, MN",27003,385,139,-2182,-2202,-2762
NETMIGNACS037007,"Anson County, NC",37007,-108,26,142,383,84
NETMIGNACS031003,"Antelope County, NE",31003,-153,-283,-250,-380,-539
NETMIGNACS026009,"Antrim County, MI",26009,-652,-743,-570,-798,-799
NETMIGNACS004001,"Apache County, AZ",04001,-1076,-1133,-1042,-735,-1804
NETMIGNACS019007,"Appanoose County, IA",19007,-79,-37,11,-218,-100
NETMIGNACS013001,"Appling County, GA",13001,-1323,-1037,-881,-846,-302
NETMIGNACS051011,"Appomattox County, VA",51011,152,166,181,-237,-651
NETMIGNACS048007,"Aransas County, TX",48007,298,483,-97,34,497
NETMIGNACS008005,"Arapahoe County, CO",08005,4957,5102,457,4594,7952
NETMIGNACS048009,"Archer County, TX",48009,-920,-1024,-1078,-629,-319
NETMIGNACS008007,"Archuleta County, CO",08007,-240,-502,-626,-554,-494
NETMIGNACS026011,"Arenac County, MI",26011,-210,-657,-556,-653,-850
NETMIGNACS005001,"Arkansas County, AR",05001,-887,-472,-890,-306,-365
NETMIGNACS051013,"Arlington County, VA",51013,2714,2960,23,1163,-139
NETMIGNACS042005,"Armstrong County, PA",42005,-1058,-1185,-1131,-695,-250
NETMIGNACS048011,"Armstrong County, TX",48011,120,-7,12,-25,25
NETMIGNACS023003,"Aroostook County, ME",23003,222,-24,-375,49,281
NETMIGNACS031005,"Arthur County, NE",31005,26,12,19,16,44
NETMIGNACS022005,"Ascension Parish, LA",22005,1432,1918,-194,286,-460
NETMIGNACS037009,"Ashe County, NC",37009,-190,-234,-592,-696,-725
NETMIGNACS039005,"Ashland County, OH",39005,1177,376,-251,-120,361
NETMIGNACS055003,"Ashland County, WI",55003,-190,93,5,-17,-160
NETMIGNACS005003,"Ashley County, AR",05003,-326,-416,-658,-621,-730
NETMIGNACS039007,"Ashtabula County, OH",39007,395,183,-459,-778,-684
NETMIGNACS053003,"Asotin County, WA",53003,-90,-48,-342,203,379
NETMIGNACS022007,"Assumption Parish, LA",22007,-290,-155,-262,28,87
NETMIGNACS048013,"Atascosa County, TX",48013,-62,100,-827,-685,-185
NETMIGNACS020005,"Atchison County, KS",20005,264,192,-9,180,48
NETMIGNACS029005,"Atchison County, MO",29005,-319,-478,-370,-409,-314
NETMIGNACS039009,"Athens County, OH",39009,4974,6121,3910,3133,3348
NETMIGNACS013003,"Atkinson County, GA",13003,-43,-215,29,-126,-256
NETMIGNACS034001,"Atlantic County, NJ",34001,2349,2626,-865,-701,-636
NETMIGNACS040005,"Atoka County, OK",40005,567,882,389,523,437
NETMIGNACS028007,"Attala County, MS",28007,-147,-183,-216,-412,-105
NETMIGNACS029007,"Audrain County, MO",29007,441,357,253,504,705
NETMIGNACS019009,"Audubon County, IA",19009,-93,-201,-309,-400,-388
NETMIGNACS039011,"Auglaize County, OH",39011,-691,-781,-646,-967,-731
NETMIGNACS051015,"Augusta County, VA",51015,-3921,-2751,-2815,-1632,-2002
NETMIGNACS046003,"Aurora County, SD",46003,-30,-39,-181,-318,-440
