RANK,CITY,STATE,2011
1,Provo,Utah,58.50%
2,Ogden,Utah,52.20%
3,Iowa City,Iowa,49.10%
4,Boulder,Colorado,47.10%
5,Fort Collins,Colorado,40.50%
5,Madison,Wisconsin,40.50%
7,Des Moines,Iowa,39.20%
8,Burlington,Vermont,37.70%
9,Oxnard,California,37.30%
9,Salem,Oregon,37.30%
9,Sioux Falls,South Dakota,37.30%
1,Minneapolis-St. Paul,Minnesota,37.1
13,Cedar Rapids,Iowa,35.60%
14,Boise,Idaho,35.40%
14,Portland,Maine,35.40%
7,Oklahoma City,Oklahoma,32.1
17,Billings,Montana,35.00%
17,Waterloo,Iowa,35.00%
19,Bridgeport,Connecticut,34.20%
20,Poughkeepsie,New York,33.90%
21,Charleston,West Virginia,33.80%
22,Fargo,North Dakota,33.60%
23,Topeka,Kansas,33.10%
24,Davenport,Iowa,33.00%
24,Rochester,New Hampshire,33.00%
26,Colorado Springs,Colorado,32.60%
27,Wichita,Kansas,32.40%
28,Asheville,North Carolina,32.30%
28,New Haven,Connecticut,32.30%
30,Eugene,Oregon,31.50%
31,Lexington,Kentucky,31.30%
32,Spokane,Washington,31.10%
33,Jackson,Mississippi,31.00%
34,Bangor,Maine,30.90%
35,Lancaster,Pennsylvania,30.50%
36,Harrisburg,Pennsylvania,30.20%
12,Grand Rapids,Michigan,36.70%
13,Cincinnati,Ohio,30.1
16,Omaha,Nebraska,35.10%
40,Cape Coral,Florida,29.00%
40,Chattanooga,Tennessee,29.00%
42,Greeley,Colorado,28.60%
43,Tucson,Arizona,28.20%
44,Norwich,Connecticut,28.10%
45,Toledo,Ohio,27.80%
46,Dayton,Ohio,27.50%
17,Columbus,Ohio,29.2
48,Lakeland,Florida,26.70%
49,Allentown,Pennsylvania,26.20%
50,Stockton,California,26.00%
51,Albuquer que,New Mexico,25.80%
51,Canton,Ohio,25.80%
53,Little Rock,Arkansas,25.50%
53,Palm Bay,Florida,25.50%
55,Worcester,Massachusetts,25.40%
56,Columbia,South Carolina,25.10%
57,Albany,New York,24.70%
58,Daytona Beach,Florida,24.60%
59,Baton Rouge,Louisiana,24.30%
60,Akron,Ohio,24.00%
61,Reno,Nevada,23.50%
61,Sarasota,Florida,23.50%
61,Scranton,Pennsylvania,23.50%
64,Youngstown,Ohio,22.70%
65,Fresno,California,22.20%
66,Honolulu,Hawaii,21.90%
66,Syracuse,New York,21.90%
68,Dover,Delaware,21.80%
68,Fayetteville,Arkansas,21.80%
70,Charleston,South Carolina,21.20%
71,Augusta,Georgia,19.40%
71,Springfield,Massachusetts,19.40%
73,Lafayette,Louisiana,19.10%
74,Bakersfield,California,17.50%
75,El Paso,Texas,12.90%
18,Nashville,Tennessee,28.5
2,Portland,Oregon,36.2
3,Salt Lake City,Utah,34.1
4,Seattle,Washington,33.9
5,Rochester,New York,33.8
6,Hartford,Connecticut,32.9
19,Indianapolis,Indiana,27.7
8,Milwaukee,Wisconsin,32
9,Washington,District of Columbia,31.7
10,St. Louis,Missouri,31.3
11,San Jose,California,30.6
12,Kansas City,Missouri,30.3
26,Charlotte,North Carolina,26.9
14,Baltimore,Maryland,29.9
14,Denver,Colorado,29.9
16,San Francisco,California,29.7
27,Birmingham,Alabama,26.7
31,Louisville,Kentucky,25.7
19,Dallas,Texas,27.7
37,Greenville,South Carolina,30.10%
19,Virginia B each,Virginia,27.7
22,Jacksonville,Florida,27.6
23,Pittsburgh,Pennsylvania,27.2
24,Buffalo,New York,27.1
25,Boston,Massachusetts,27
38,Knoxville,Tennessee,29.80%
38,Memphis,Tennessee,24.8
28,San Diego,California,26.5
29,Atlanta,Georgia,26.4
29,Cleveland,Ohio,26.4
39,Tulsa,Oklahoma,29.30%
32,Detroit,Michigan,25.6
33,Philadelphia,Pennsylvania,25.4
33,Sacramento,California,25.4
35,Chicago,Illinois,25.1
35,Providence,Rhode Island,25.1
37,Phoenix,Arizona,25
47,Greensboro,North Carolina,27.20%
39,Tampa,Florida,24.5
40,New Orleans,Louisiana,24.4
41,Austin,Texas,24
42,Orlando,Florida,22.8
43,San Antonio,Texas,22.5
44,Richmond,Virginia,22.3
45,Houston,Texas,22.2
46,Los Angeles,California,21.5
47,Raleigh,North Carolina,21.4
48,Riverside,California,19.9
49,Las Vegas,Nevada,19
50,New York,New York,17.2
51,Miami,Florida,15.2
