RANK,CITY,2015
8,"Grand Rapids - Wyoming, MI",35.60%
15,"Omaha-Council Bluffs, NE-IA",33.90%
31,"Greensboro-High Point, NC",28.50%
32,"Tulsa, OK",28.40%
48,"Greenville, SC",25.70%
50,"Knoxville, TN",25.20%
9,"Kansas City, MO-KS",31.10%
10,"Indianapolis, IN",30.30%
11,"Charlotte-Gastonia-Concord, NC-SC",30.20%
20,"Louisville, KY-IN",28.20%
22,"Birmingham-Hoover, AL",27.20%
25,"Columbus, OH",26.30%
27,"Memphis, TN-MS-AR",25.80%
28,"Cincinnati-Middletown, OH-KY-IN",25.80%
32,"St. Louis, MO-IL",25.40%
34,"Nashville-Davidson-Murfreesboro, TN",24.90%
41,"Oklahoma City, OK",22.50%
