Id2,Neighborhood,Estimate; Total
21111000200,Portland,3051
21111000300,Portland,2468
21111000400,Chickasaw-Shawnee,5231
21111000600,Russell,1780
21111000700,Chickasaw-Shawnee,2884
21111000800,Chickasaw-Shawnee,2158
21111000900,Chickasaw-Shawnee,2179
21111001000,California-Parkland,2737
21111001100,Chickasaw-Shawnee,3266
21111001200,Chickasaw-Shawnee,3033
21111001400,Algonquin-Park Hill-Park Duvalle,2798
21111001500,Algonquin-Park Hill-Park Duvalle,2982
21111001600,Algonquin-Park Hill-Park Duvalle,2526
21111001700,California-Parkland,2078
21111001800,California-Parkland,1696
21111002100,Portland,2401
21111002300,Portland,2706
21111002400,Russell,5225
21111002700,California-Parkland,2749
21111002800,Algonquin-Park Hill-Park Duvalle,1794
21111003000,Russell,3526
21111003500,Algonquin-Park Hill-Park Duvalle,5287
21111003600,South Central Louisville,5461
21111003700,South Central Louisville,1627
21111003800,South Central Louisville,3384
21111003900,South Central Louisville,3720
21111004000,South Central Louisville,1755
21111004100,South Central Louisville,2798
21111004301,South Central Louisville,4511
21111004302,South Louisville,1465
21111004400,South Louisville,4136
21111004500,South Louisville,3326
21111004600,South Louisville,3523
21111004900,Downtown-Old Louisville-University,3622
21111005000,Downtown-Old Louisville-University,1816
21111005100,Downtown-Old Louisville-University,3211
21111005200,Downtown-Old Louisville-University,3390
21111005300,Downtown-Old Louisville-University,2524
21111005600,South Louisville,4381
21111005900,Phoenix Hill-Smoketown-Shelby Park,5024
21111006200,Phoenix Hill-Smoketown-Shelby Park,1635
21111006300,Germantown,1711
21111006400,Highlands,1724
21111006500,Phoenix Hill-Smoketown-Shelby Park,3257
21111006600,Downtown-Old Louisville-University,1748
21111006800,Germantown,2020
21111006900,Germantown,2288
21111007000,Germantown,2161
21111007100,Germantown,4804
21111007400,Butchertown-Clifton-Crescent Hill,2114
21111007501,Northeast Jefferson,5245
21111007502,Northeast Jefferson,5385
21111007601,Butchertown-Clifton-Crescent Hill,1983
21111007602,Butchertown-Clifton-Crescent Hill,3527
21111007603,Butchertown-Clifton-Crescent Hill,2434
21111007700,Butchertown-Clifton-Crescent Hill,3403
21111007800,Butchertown-Clifton-Crescent Hill,3215
21111007900,Butchertown-Clifton-Crescent Hill,1868
21111008100,Butchertown-Clifton-Crescent Hill,3264
21111008200,Highlands,4243
21111008300,Highlands,2436
21111008400,Highlands,2978
21111008500,Highlands,2173
21111008700,Highlands,4325
21111008800,Highlands,3034
21111008900,Southeast Louisville,4421
21111009000,South Louisville,6149
21111009103,South Louisville,1661
21111009105,South Louisville,3545
21111009106,South Louisville,5002
21111009300,Southeast Louisville,5126
21111009400,Southeast Louisville,6823
21111009600,Southeast Louisville,4401
21111009700,Southeast Louisville,2739
21111009800,St. Matthews,2583
21111009900,St. Matthews,2783
21111010001,St. Matthews,4422
21111010004,Northeast Jefferson,4250
21111010005,Northeast Jefferson,4616
21111010006,Northeast Jefferson,3570
21111010007,Northeast Jefferson,4105
21111010008,Northeast Jefferson,3766
21111010102,Northeast Jefferson,3938
21111010103,Northeast Jefferson,4424
21111010104,Northeast Jefferson,2854
21111010307,Northeast Jefferson,5940
21111010309,Northeast Jefferson,4981
21111010311,Northeast Jefferson,7465
21111010312,Northeast Jefferson,3131
21111010313,Northeast Jefferson,4015
21111010314,Northeast Jefferson,6664
21111010315,Northeast Jefferson,3243
21111010316,Northeast Jefferson,5028
21111010317,Northeast Jefferson,4589
21111010318,Northeast Jefferson,5888
21111010319,Northeast Jefferson,4638
21111010320,Northeast Jefferson,3506
21111010402,Floyd's Fork,6273
21111010403,Northeast Jefferson,3880
21111010405,Northeast Jefferson,4582
21111010406,Northeast Jefferson,5620
21111010500,St. Matthews,3927
21111010601,St. Matthews,3247
21111010602,St. Matthews,4113
21111010701,J-Town,4933
21111010702,J-Town,5481
21111010705,J-Town,6212
21111010706,J-Town,3454
21111010800,Southeast Louisville,3858
21111010901,Southeast Louisville,4789
21111010902,Southeast Louisville,4422
21111011002,Buechel-Newburg-Indian Trail,5494
21111011003,Southeast Louisville,5681
21111011004,Southeast Louisville,6063
21111011005,J-Town,2764
21111011102,J-Town,6135
21111011106,J-Town,6965
21111011109,Fern Creek,2325
21111011110,Fern Creek,5829
21111011111,J-Town,5277
21111011112,J-Town,3553
21111011113,J-Town,2384
21111011114,J-Town,5121
21111011200,Southeast Louisville,5126
21111011301,Buechel-Newburg-Indian Trail,2424
21111011302,Buechel-Newburg-Indian Trail,7263
21111011403,Buechel-Newburg-Indian Trail,1748
21111011404,Buechel-Newburg-Indian Trail,3550
21111011405,Buechel-Newburg-Indian Trail,6049
21111011406,Buechel-Newburg-Indian Trail,4709
21111011505,Highview-Okolona,6827
21111011506,Fern Creek,5737
21111011508,Highview-Okolona,5046
21111011509,Fern Creek,4236
21111011513,Highview-Okolona,4291
21111011514,Highview-Okolona,3259
21111011515,Fern Creek,5304
21111011516,Fern Creek,4590
21111011517,Floyd's Fork,5790
21111011518,Floyd's Fork,2611
21111011519,Floyd's Fork,5195
21111011520,Floyd's Fork,3682
21111011601,Floyd's Fork,6361
21111011603,Floyd's Fork,4570
21111011604,Floyd's Fork,2568
21111011706,Highview-Okolona,3899
21111011707,Highview-Okolona,5382
21111011708,Floyd's Fork,5191
21111011709,Floyd's Fork,4136
21111011710,Highview-Okolona,3009
21111011711,Highview-Okolona,5562
21111011712,Highview-Okolona,4150
21111011713,Highview-Okolona,2858
21111011800,Buechel-Newburg-Indian Trail,2609
21111011901,Fairdale,1052
21111011904,Highview-Okolona,2670
21111011905,Highview-Okolona,8037
21111011906,Highview-Okolona,3540
21111011907,Highview-Okolona,4586
21111012001,Fairdale,3227
21111012002,Fairdale,5981
21111012003,Fairdale,3866
21111012103,Valley Station,2975
21111012104,Valley Station,3740
21111012105,Valley Station,4864
21111012106,Valley Station,8206
21111012107,Valley Station,5604
21111012202,South Louisville,6709
21111012203,Pleasure Ridge Park,6339
21111012204,South Louisville,3812
21111012301,South Louisville,3716
21111012302,South Louisville,5138
21111012406,Pleasure Ridge Park,5789
21111012407,Pleasure Ridge Park,5241
21111012408,Pleasure Ridge Park,2363
21111012409,Valley Station,3538
21111012410,Pleasure Ridge Park,4242
21111012411,Pleasure Ridge Park,7171
21111012501,Shively,2656
21111012502,Pleasure Ridge Park,5295
21111012503,Shively,3973
21111012601,Shively,7126
21111012603,Shively,2754
21111012604,Shively,5314
21111012701,Shively,3360
21111012702,Shively,1915
21111012703,Pleasure Ridge Park,5924
21111012801,Shively,3003
21111012802,South Central Louisville,2510
21111013100,Southeast Louisville,1989
21111980100,Airport,0
