Neighborhood,child_per,per_25_64_assoc_plus,per_25_64_bach_plus,per_25_64_grad,per_25_34_assoc_plus,per_25_34_bach_plus,per_25_34_grad,per_high_wage
Airport,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algonquin-Park Hill-Park Duvalle,0.6379581151832461,0.17909496494582536,0.11201402166985341,0.04732313575525813,0.21476888387824125,0.1527621195039459,0.023111612175873732,0.22769828652181592
Buechel-Newburg-Indian Trail,0.3801692289357645,0.2529832935560859,0.1516386285581233,0.06851388322952442,0.2809209352132786,0.17562020346243085,0.05425664822416563,0.2747005492687446
Butchertown-Clifton-Crescent Hill,0.15205946113347785,0.634820313074153,0.5641948996839862,0.3044021459542882,0.7432319866722199,0.6763848396501457,0.2725947521865889,0.5213058976020739
California-Parkland,0.5569487983281086,0.16148936170212766,0.08595744680851064,0.043191489361702126,0.22865627319970305,0.12026726057906459,0.04825538233110616,0.11447704081632654
Chickasaw-Shawnee,0.3600248292985723,0.21386340468909276,0.13221202854230377,0.06564729867482161,0.17125984251968504,0.07627952755905512,0.03740157480314961,0.24400720520992103
Downtown-Old Louisville-University,0.3274336283185841,0.3716857212357091,0.32145463390902457,0.20797859401605448,0.4104803493449782,0.3475254730713246,0.15574963609898107,0.4041464374753969
Fairdale,0.3582210242587601,0.1936563169164882,0.09983940042826553,0.03345824411134904,0.20133111480865223,0.13033832501386577,0.024403771491957847,0.26231647634584015
Fern Creek,0.14605885043451747,0.4230694918529014,0.30868809171121275,0.13988536098409224,0.42750450682462016,0.33298995621941796,0.0739119237702807,0.3723027590353397
Floyd's Fork,0.03905261254745977,0.5552183049264534,0.44886761615689935,0.2352323137987392,0.5848634124496194,0.5049261083743842,0.1334527541424093,0.5058029915783299
Germantown,0.28107074569789675,0.4409517845961177,0.35716969317470254,0.1749530369442705,0.5430016863406408,0.4839797639123103,0.1905564924114671,0.42040208488458675
Highlands,0.06075063613231552,0.7314616543738599,0.6871282417320961,0.40851772543421366,0.747258225324028,0.7185942173479561,0.3220338983050847,0.5981582916567437
Highview-Okolona,0.24392288348700755,0.3318973045351342,0.22893986144262676,0.10455842114455377,0.40779879530804186,0.2878579731586178,0.09119729472683082,0.33393218055243656
J-Town,0.10016810046474835,0.5576566045520182,0.4737674482568934,0.2542460290173967,0.6511375947995667,0.5814373420007223,0.22848200312989045,0.4742456240827576
Northeast Jefferson,0.08553230209281165,0.6635711747795472,0.5911043638360413,0.33403856713718144,0.6669338969462867,0.5804970483200933,0.2105531666788135,0.5471753207715694
Phoenix Hill-Smoketown-Shelby Park,0.6201117318435754,0.22373641538726927,0.18975332068311196,0.09642918751078144,0.40562659846547316,0.3734015345268542,0.17698209718670077,0.2553542009884679
Pleasure Ridge Park,0.18296597474855553,0.2683538732394366,0.1580105633802817,0.06932218309859155,0.37606993261700966,0.27098889091240214,0.10052813695137498,0.33813631151219026
Portland,0.5329101236217841,0.10469508904479223,0.03417880913833423,0.007735204173412484,0.07951070336391437,0.046483180428134555,0.00672782874617737,0.2017922336541653
Russell,0.6714161093341088,0.12319422150882825,0.08447030497592295,0.04735152487961477,0.07741935483870968,0.02838709677419355,0.025161290322580646,0.22699968384445146
Shively,0.3307631785995279,0.20185972042613462,0.09754295215222612,0.0518504834041505,0.2053466509988249,0.13572267920094008,0.043478260869565216,0.2403955876759224
South Central Louisville,0.5137116879307816,0.17864285714285713,0.10114285714285715,0.05664285714285714,0.21116138763197587,0.11739567621920563,0.029411764705882353,0.2201064701064701
South Louisville,0.2804092154019655,0.241908305834445,0.1667134732851225,0.08699010040019658,0.23908312781082258,0.15218337443783547,0.0468591324532134,0.27351536979646535
Southeast Louisville,0.24553487497649934,0.5008080263955289,0.4128004848158373,0.22257760420173725,0.5623332946770265,0.4653832772816885,0.17592485213962658,0.46884892086330937
St. Matthews,0.11778774289985053,0.653462050599201,0.5882157123834887,0.30575898801597867,0.6870324189526185,0.6231920199501247,0.23566084788029926,0.5428304609898973
Valley Station,0.22567469000729395,0.21841357902384254,0.12119410871144574,0.047156726768377254,0.2533505154639175,0.16134020618556702,0.03943298969072165,0.28033695074751463
