Neighborhood,unemp_pct,median_household_income,median_earnings
Airport,NaN,NaN,NA
Algonquin-Park Hill-Park Duvalle,0.17466102930456334,21e3,15700
Buechel-Newburg-Indian Trail,0.1356252145063494,34100,22400
Butchertown-Clifton-Crescent Hill,0.05950476190476191,47400,32600
California-Parkland,0.19856887298747763,18400,14600
Chickasaw-Shawnee,0.1811890174722033,3e4,22400
Downtown-Old Louisville-University,0.096823891917516,21e3,16600
Fairdale,0.08329594736055032,43300,26900
Fern Creek,0.05600050450904963,62600,33600
Floyd's Fork,0.046730838359228345,87100,44100
Germantown,0.09342513838261104,37900,27100
Highlands,0.04015544041450777,71500,38200
Highview-Okolona,0.07933366807454884,52600,30700
J-Town,0.04768884646850286,63400,39500
Northeast Jefferson,0.048211483128433166,87300,45200
Phoenix Hill-Smoketown-Shelby Park,0.22358659503709388,19200,19300
Pleasure Ridge Park,0.08707328174783796,50900,30200
Portland,0.2081471747700394,23500,17400
Russell,0.28793336334984243,17200,15800
Shively,0.1179628262765886,35500,25500
South Central Louisville,0.18170394571500376,27500,22100
South Louisville,0.09580430172674947,41400,25600
Southeast Louisville,0.06204662775397281,51100,32300
St. Matthews,0.03868440381947278,63400,40600
Valley Station,0.08174216027874565,49100,28100
NA,0.08444082445574992,NA,NA
