Neighborhood,mpi,dif_score
Algonquin-Park Hill-Park Duvalle,0.8544167249511896,0.493720091512882
Buechel-Newburg-Indian Trail,0.5192006892834686,0.312218941262612
Butchertown-Clifton-Crescent Hill,-0.7128584362556445,0.14968457708593563
California-Parkland,0.933710797768147,0.6231586262721758
Chickasaw-Shawnee,0.5154201799623938,0.6050603373745814
Downtown-Old Louisville-University,0.48684884262874756,0.05476215794917805
Fairdale,0.42279696793512156,0.10135651346525065
Fern Creek,-0.8772937725858616,0.08729570129439868
Floyd's Fork,-1.2481572858078605,0.1645907682920752
Germantown,-0.3472548650260688,0.14831082807535823
Highlands,-1.2412443932579889,0.22854278631658165
Highview-Okolona,-0.5289894781092503,0.04665155695930301
J-Town,-0.9354716467757724,0.05922495431473751
Northeast Jefferson,-1.2419127832147268,0.1140252564870925
Phoenix Hill-Smoketown-Shelby Park,1.3909105136727429,0.31388591911738867
Pleasure Ridge Park,-0.5372531461419552,0.13832544074507458
Portland,1.6675574828023596,0.06211903513116657
Russell,1.7892204643904033,0.639353710496413
Shively,3.0174163395631226e-5,0.24919039204160154
South Central Louisville,1.1907338972429637,0.23799721594507328
South Louisville,0.10562894902622268,0.03909998003755755
Southeast Louisville,-0.7961049202017277,0.10296402766528379
St. Matthews,-1.1269346165221894,0.1965786331812317
Valley Station,-0.283000339928109,0.2069095217381468
