city,county,state,display_name,FIPS,year,current,baseline,under_5_per,five_to_17_per,child_per,per_25_64_assoc_plus,per_25_64_bach_plus,per_25_64_grad,per_25_34_assoc_plus,per_25_34_bach_plus,per_25_34_grad,bach_plus_per_all,bach_plus_per_white,bach_plus_per_black,bach_plus_per_hispanic,per_high_wage,enrolled_3_4
Birmingham,Jefferson,AL,BIR,1073,2005,1,1,27.56162890997412,24.424062778733795,25.31554947854521,36.67388085863371,29.910793184471814,14.95771440491608,36.986317569565166,32.21224914558721,9.140147349250837,24.863192790773684,34.56114281723692,15.130703228991557,9.632122548450738,37.918348130212536,42.8
Jacksonville,Duval,FL,JAC,12031,2005,0,1,18.10244945250412,14.348972810839463,15.413963782509851,35.599273828638154,26.062116844256312,11.562864910232083,35.051489669970934,27.663203455264053,6.819744890005594,23.493214341378373,27.910648265092885,16.086583670934736,23.423926038096756,37.467390279422084,51.2
Indianapolis,Marion,IN,IND,18097,2005,1,1,26.649174343324873,19.114679133455958,21.44533352153929,35.40971075106316,27.93224791761853,12.49648543211612,39.57850636366522,31.695337544037834,6.908782175389596,24.61426152066742,30.634468594722808,15.507140538786107,8.733151626031438,37.57313360096683,44.5
Louisville,Jefferson,KY,LOU,21111,2005,1,1,27.751727025329703,15.684337142366184,19.19590643274854,37.990411218394236,30.168910896900584,15.934612726879804,41.795956214944816,33.11923285688438,9.321286412158495,25.14011919054263,29.726654595780293,13.401546668665592,24.382418992621112,37.72888503949539,45.3
Grand Rapids,Kent,MI,GR,26081,2005,1,0,19.607121995543345,15.606312937379736,16.74706375838926,39.91062678081169,30.620225477533374,14.104028609814828,39.95258781482774,31.835958652723797,7.230959916246495,26.85196099663093,30.71389452659386,15.134037073312292,6.95446306366293,36.64657037964007,45.9
Kansas City,Jackson,MO,KC,29095,2005,1,1,22.583039152759948,19.766415367502958,20.627214437211126,36.02971230046095,29.683065010558824,14.550455278276072,36.69267880566486,30.44309566686676,7.133328886813846,24.883281639887127,31.588362381189334,14.99415633522011,11.896290843659264,38.38625715773035,44.2
Omaha,Douglas,NE,OMA,31055,2005,1,1,21.032285584792984,16.855806959422946,18.1332615733379,45.45472310157502,37.4143119552898,16.475163168796655,47.719713311530164,39.27075360100202,8.892909331292186,32.63233894522661,38.32501517767738,14.700592819556386,8.639195016770485,39.776781330802216,48.5
Greensboro,Guilford,NC,GBR,37081,2005,1,1,20.989220038046923,22.55183119343296,22.110040668434312,41.25383195298342,33.606015954473854,14.56438527852582,38.818243612911786,30.687865775817762,8.170167614437057,30.565322761403113,38.18495789166069,18.676062133525356,12.856697333541245,38.93225607693982,56.4
Charlotte,Mecklenberg,NC,CHA,37119,2005,1,1,16.30067172669607,15.85687539584769,15.993879966513024,49.82111652820631,40.64492022401267,17.06362613242523,50.93101487728609,42.91275782557882,9.40490855680849,36.772157630114926,47.35871611727085,20.659942850006978,15.378336260420017,41.22495371043814,58.5
Raleigh,Wake,NC,RAL,37183,2005,0,1,15.710644834689102,11.954350289224164,13.07838569145102,58.48259015048141,50.57134269110757,22.45531837743447,59.0354849947743,53.31707559846712,13.787554538064667,46.145288733228426,53.16912981637634,28.977167469433123,19.9710661777075,50.909957736315846,49
Columbus,Franklin,OH,COL,39049,2005,1,1,24.285387054384124,18.32064710372318,20.142266469810714,43.05772787251061,36.54094683017208,17.3708370057519,44.585133410604946,37.74776673340124,10.879491412314286,31.72806912102697,37.1743666283382,16.753334276276927,22.689555025412304,42.83941103567498,37.1
