city,county,state,display_name,FIPS,year,current,baseline,premature_death,poor_or_fair_health,poor_physical_health_days,poor_mental_health_days,low_birthweight,adult_smoking,adult_obesity,food_environment_index,physical_inactivity,access_to_exercise_opportunities,excessive_drinking,alcohol_impaired_driving_deaths,sexually_transmitted_infections,teen_births,uninsured,primary_care_physicians,dentists,mental_health_providers,preventable_hospital_stays,diabetes_monitoring,mammography_screening,high_school_graduation,some_college,unemployment,children_in_poverty,income_inequality,children_in_single_parent_households,social_associations,violent_crime,injury_deaths,air_pollution,severe_housing_problems,driving_alone_to_work,long_commute,drinking_water,outcomes,health_behaviors,clinical_care,social_and_economic,physical_environment,factors,ss_est_per_10000,commute_time,child_per
Birmingham,Jefferson,AL,BIR,1073,2017,1,1,10306,18.8,3.7,4,11,19.400000000000002,33.2,5.7,26.200000000000003,77.7,14.099999999999998,14.499999999999998,764.2,41.8,12.6,107,83,134,41.53,86,66,0.89,0.672,0.058,0.262,5.515,0.427,14.679,796.8399999999999,82.4,12.9,18,84.89999999999999,32.4,0,-1.1886492194123819,-0.11758792442288071,0.012340963642837363,-0.1429887610409909,-0.09804969862854333,-0.3462854204495776,NA,NA,NA
Charlotte,Mecklenberg,NC,CHA,37119,2017,1,1,5589,16.2,3.6,3.5,9,15,23.9,6.7,19,89.5,18.3,38,637,30.6,14.899999999999999,88,67,231,36.52,90,68,0.88,0.73,0.054,0.191,4.742,0.364,9.076,546.31,43.7,10.7,18.099999999999998,77.3,34.9,0,1.0790637324671901,0.3765392072657738,0.0829471909053183,0.1861483531332025,0.028753409543762157,0.6743881608480568,NA,NA,NA
Cincinnati,Hamilton,OH,CIN,39061,2017,1,1,8385,15.2,3.7,3.6,10,18.6,29.2,6.3,22.2,94.6,19.5,38.2,811.2,36,10.100000000000001,105,72,241,45.53,88,65,0.732,0.694,0.045,0.231,5.841,0.435,10.736,462.86,75.7,12.5,17.8,79.7,28.999999999999996,0,-0.0804447922533827,-0.021036426560272055,0.06197095703539343,-0.08033165268704706,-0.02541627169766797,-0.06481339390959365,NA,NA,NA
Columbus,Franklin,OH,COL,39049,2017,1,1,7485,15.1,3.7,3.9,9,19.7,29.7,6.6,22.2,95,20.3,32.300000000000004,674,36.3,11.200000000000001,101,84,197,49.17,87,57.99999999999999,0.663,0.714,0.041,0.245,4.803,0.396,9.859,429.31,65.7,12.3,17.5,81.39999999999999,23.799999999999997,1,0.2829212695927576,-0.04135376524761378,0.05858149942836979,0.0051107869992706775,-0.0251322993591522,-0.0027937781791255063,NA,NA,NA
Grand Rapids,Kent,MI,GR,26081,2017,1,0,5621,13,3.5,3.7,8,16.900000000000002,28.7,7.8,19.900000000000002,91.5,22.3,28.1,579.9,31.7,10.7,91,69,261,36.9,83,65,0.783,0.694,0.036,0.191,4.288,0.322,12.173,378.22999999999996,57.3,10.7,15.1,81.6,20.9,1,1.2972891445864043,0.20897405430300325,0.09795328283055142,0.3559321041850214,0.04407823248994216,0.7069376738085182,NA,NA,NA
Greensboro,Guilford,NC,GBR,37081,2017,1,1,6697,17.1,3.8,3.9,9,18.099999999999998,30.7,6.3,22.400000000000002,94,15.7,34.4,671.3,27,14.799999999999999,78,54,234,44.63,89,65,0.889,0.686,0.059,0.235,4.755,0.405,11.638,419.06,60.1,9.6,17.5,82,21.9,1,0.45486034164008143,0.06488280794277924,0.0690562836085458,0.001735353313773537,0.03761482477645114,0.17328926964154973,NA,NA,NA
Greenville,Greenville,SC,GVL,45045,2017,1,0,7040,14.2,3.4,3.9,9,15,28.1,7.2,22,82.1,16.8,39.300000000000004,528.8,36.8,15.5,102,61,177,33.98,87,68,0.843,0.653,0.05,0.177,4.916,0.324,12.657,590.49,76.3,10.2,14.2,84.39999999999999,26.400000000000002,0,0.5713137964799933,0.2741481146768438,0.035399404580954995,0.12986405528623116,0.02675092677593285,0.46616250131996273,NA,NA,NA
Indianapolis,Marion,IN,IND,18097,2017,1,1,8992,17.9,3.7,4.2,9,20.9,32.4,6.1,25.6,89.8,17.599999999999998,19,1024.7,48.6,16.1,81,82,238,50.26,83,62,0.721,0.611,0.05,0.31,4.869,0.478,11.817,1196.71,77,12.3,18.5,81.89999999999999,28.7,0,-0.49098778084591577,-0.2532337403089114,-0.06796173244785543,-0.40237064461312766,-0.05086050647655449,-0.7744266238464489,NA,NA,NA
Kansas City,Jackson,MO,KC,29095,2017,1,1,8266,17.7,4.2,4.2,8,20.1,31,6.3,23.400000000000002,94.3,18,37.5,745.7,46,14.799999999999999,76,81,204,55.1,86,62,0.856,0.658,0.059,0.25,4.885,0.433,11.241,822.54,80.2,10.9,17.599999999999998,81.89999999999999,31.6,1,-0.2364103543082923,-0.15247782290237225,-0.03295721205386444,-0.19120635582472623,-0.012251757670417137,-0.38889314845138007,NA,NA,NA
Knoxville,Knox,TN,KNO,47093,2017,1,0,8071,17.7,4.3,4.4,9,18.7,29.7,6.8,26.700000000000003,79.5,12.7,30.7,440.1,29,12.3,113,58,324,44.31,89,67,0.9,0.702,0.048,0.198,4.851,0.295,11.992,488.69,77.9,11.4,14.299999999999999,84.89999999999999,23.7,0,-0.3662264162706075,0.09212493946415133,0.009679521727839896,0.22806499577155928,-0.0035871024646047037,0.3262823544989458,NA,NA,NA
