city,year,FIPS,baseline,current,burdened_households,commute_time,disconnected_youth,home_ownership,housing_price_index,income_inequality,net_migration_flow,racial_geography,population,migration_pop,ss_est,ss_est_per_10000,MSA,msa_population_estimate,pct_pop_core_county,food_insecure_overall,food_insecure_child,est_food_desert_households,est_food_desert_households_per100000_lowIncTract,violent_crime,injury_deaths,air_pollution,severe_housing_problems,driving_alone_to_work,pop_mpi,pop_ex_mpi,percent_in_mpi,percent_in_ex_mpi
Birmingham,2005,1073,1,1,NA,NA,NA,NA,124.27,NA,NA,NA,641690,NA,1037,16.160451308264115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2006,1073,1,1,NA,NA,NA,NA,131.8,NA,NA,NA,656700,NA,1043,15.882442515608345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2007,1073,1,1,NA,NA,NA,NA,134.38,NA,NA,NA,658779,NA,1004,15.240315796344449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2008,1073,1,1,NA,NA,NA,NA,135.04,NA,NA,NA,659503,NA,1016,15.40554023256907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2009,1073,1,1,NA,23.3109448886596,9.86886920980926,69.1592964863004,130.86,NA,-2868,62.9948784033862,665027,-0.0043126068565637185,1016,15.277575196195041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2010,1073,1,1,35.6677912284183,23.3499131642932,10.0508387026616,68.8880689726034,123.11,16.9894006934126,-3101,63.732560308077304,658555,-0.004708794254086599,997,15.139206292564783,13820,1128937,58.334078872426005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2011,1073,1,1,36.3845517836387,23.3658081412855,8.86336785998846,67.6476722973183,118.51,17.3201346268066,-437,62.3683817169478,658931,-6.63195387680956e-4,996,15.115391444627738,13820,1130857,58.26828679488211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2012,1073,1,1,36.5073517634622,23.3590855969119,8.78964147882991,66.7756512658582,117.08,17.8304771677783,-2485,62.2453723410964,660009,-0.0037651001728764306,992,15.030098074420197,13820,1133917,58.20611208756902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2013,1073,1,1,36.2723893748598,23.4414781016678,8.58372793801119,66.2240888347281,116.92,18.3730200356656,-1957,61.9335842052142,659479,-0.0029674940369594787,997,15.117994659420543,13820,1138578,57.92128426862279,18.4,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birmingham,2014,1073,1,1,35.7612192375744,23.3842915339817,8.68843870066364,65.1995671924408,120.33,18.5296363058,NA,61.620448934108,660793,NA,970,14.679332256848967,13820,1141775,57.87418712093013,19.7,23.2,NA,NA,NA,NA,NA,NA,NA,80252,0,12.32520529978299,0
Birmingham,2015,1073,1,1,34.7318564033635,23.5814608737671,8.21456258572366,64.6748474268535,125.28,18.8866431397711,NA,60.3674306315914,660367,NA,952,14.416226128804135,13820,1144857,57.681177649261,19.4,22.3,10822.074251476,4105.989441615067,796.8399999999999,82.4,12.9,18,84.89999999999999,NA,NA,NA,NA
Charlotte,2005,37119,1,1,NA,NA,NA,NA,114.57,NA,NA,NA,780618,NA,837,10.72227389068661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2006,37119,1,1,NA,NA,NA,NA,123.33,NA,NA,NA,827445,NA,868,10.490123210606143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2007,37119,1,1,NA,NA,NA,NA,132.43,NA,NA,NA,867067,NA,886,10.21835682824972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2008,37119,1,1,NA,NA,NA,NA,135.25,NA,NA,NA,890515,NA,892,10.016675743811167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2009,37119,1,1,NA,24.5890088401647,6.94456982937619,66.5850508147391,129.23,NA,22654,48.7410357630396,913639,0.02479535133679714,863,9.445743887903209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2010,37119,1,1,35.1859577062542,24.714135677334,7.83193567163214,65.3277435424205,118.56,14.6460348162476,21014,52.0419893032157,923427,0.02275653625029374,885,9.58386531907774,16740,2223454,41.53119425902222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2011,37119,1,1,36.1234428313566,24.6360126211468,8.2532528276214,64.376056472491,113.59,15.3813294587722,11833,51.4318018197786,944373,0.01253000668168192,876,9.27599581944846,16740,2256476,41.85167491256278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,2012,37119,1,1,36.4352395358288,24.803933421528,8.12984475986616,63.1020424280116,111.22,15.965178175366,8676,51.8416079957545,969031,0.008953273940668565,878,9.060597648578838,16740,2294642,42.23016052177202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
